Q922Q2 F6XB71
Q3UZG4 F7D5D9
Q61781 F6XB91
Q8BU88 F7C4M4
E9Q5L4 F7AQV3
A0A286YD43 F6X4H0
O70343 F6YR50
Q9CQW2 F7AG66
Q9D6Z1 F6Q8M6
Q8BGG7 F6XN76
P63280 F6UL81
Q8BGZ3 F6VIL6
P63163 F6QM47
A0A286YDR3 F6RW70
Q9DB05 F7B8B3
Q5RL20 F6VE52
Q61733 F7BVG1
O88852 F6X1H9
A2ADB0 F6ZS28
A0A286YD43 F6Z4J4
Q5SF07 F6ZF77
Q9D7I0 F6UAU0
Q62108 F6Z169
Q9CQ06 F6UQV4
Q8R2U0 F7CC90
Q6GQT0 F6XYD8
Q8K284 F6RQX2
Q8VEL0 F6YUM4
Q9Z238 F6TRA1
P54116 F7DI53
Q9D906 F7CI38
Q5SYD0 F6QTU8
Q9Z321 F7E107
Q9DAT2 F6VX33
Q8VDG5 F6PHL5
P28658 F7DI53
P70399 F6SCX8
P70284 F6X1H9
Q9WVS8 F6S5L3
Q6PEB6 F6SRT9
Q60769 F6YUY8
P46414 F7BNS9
Q61575 F6PUL2
P11725 F6TG68
Q06219 F6ZRL4
Q9DBR0 F7AEV0
P62878 F7B9A4
Q8CJG1 F6QQB3
Q99P69 F6U4D9
O70220 F6VQT2
P26450 F7CEQ6
Q99LU8 F7DPQ7
E9PY95 F6YDA3
Q99ME2 F7C0A5
O70220 F6PRN5
Q99M80 F6WKI2
P01108 F6YAJ2
Q9CQJ4 F7DSH8
P57784 F7B238
A2AEG2 F7CRZ2
Q62311 F6QVR3
Q6NZQ4 F6QIR9
P46938 F6T8H1
Q8CHK4 F6UXD9
Q8CFT3 F7CI38
Q9CQ06 F6RB95
Q9D6F9 F6RVH1
Q61733 F6ZTM2
Q05769 F7AXE8
Q8C2R7 F6QNC5
Q91WU5 F6Z8K8
A0A286YD43 F6PMJ1
P33610 F6UDJ9
Q9WVS8 F6RB95
P35585 F6RIW1
A0A0R4J0H1 F7BL38
Q9CQ73 F7AM44
O08586 F6WQ37
P42128 F7C4E7
Q8VBX6 F6WDK5
O54950 F6ZS28
Q9JJ93 F6ZYE9
E9Q2I3 F6VEG9
Q8VBW6 F6S5L3
A0A286YD43 F6RW70
Q3UZ64 F7E0L8
F6R4N2 F7A9E9
P20664 F6SF14
D3Z3U5 F6R6X2
E9QN68 F6VIJ3
P97471 F6RZ63
Q6PDK0 F6ZGQ9
Q8BZ00 F7B113
P62984 F6T1S2
E9Q0T8 F6SEI8
Q9DBZ1 F6WJS9
S4R1Y1 F6QQI1
A0A1L1SQI7 F6V076
O35345 F6RRU3
Q8C0D7 F6V3R9
P10300 F7C510
Q61069 F6PMR1
P35278 F6QSL6
Q9QYJ0 F6TVL2
P11725 F7BIG8
O88816 F7AXK9
P28658 F7B7X0
Q9D9R0 F6RD70
Q9D2M8 F6YR50
G3X972 F7D5D9
Q8BWY4 F6V5B8
Q8BP92 F6X7C1
Q05769 O19183
Q7TS68 F6XAE8
Q62383 F6SCX8
Q5SV02 F7AR56
Q9D1G1 F6TGA5
A2A432 F6SN62
Q91WR3 F7B297
A0A286YD43 F7BPE3
P54728 F6XFN5
Q6PEE3 F7CBK8
O88477 F6RV24
P63163 F7A0C8
Q08024 F7DMY1
Q9QYC1 F7AYN8
A6PWE0 F7BVG1
Q7TPD1 F6Z4J4
P70284 F7C1C0
Q8CCE9 F6VQT2
F8WJE0 F6RJN1
Q9DBZ1 F6XQL3
P97504 F7DGI1
Q99N94 F6W163
Q8CJG0 F7BU40
Q7TSH3 F6WWQ3
Q9QXV3 F6YSR6
Q08874 F6YSR6
P62137 F6R8R0
Q8BFX1 F7ANZ7
Q9CQL5 F6QBM1
O88199 F6WF01
A2APM2 F6PTV7
A2A791 F7ATL5
Q9CQA1 F6WJE4
Q711T7 F7BY91
Q62311 F6YKY8
P57784 F6PV98
Q641K5 F6WE15
O88852 F7C1C0
Q8BJY1 F7BBH3
Q9CQ06 F6S5L3
P46414 F6YUY8
F6TVP2 F7C0A5
P04104 F6YKI8
Q8BJA2 F6QCI6
P50207 F6Q6U0
Q9CQA1 F6VKD2
Q9DBZ1 F7C1C0
Q3UZ64 F6SG49
P62984 F6X8D2
Q9WVJ2 F7B6P6
P05784 F7AM44
Q8CEC4 F6PJ06
Q99P72 F7C2H1
Q61545 F6U210
Q8BZ33 F6VZB0
E9Q5C9 F6SIH2
Q62351 F6QIV1
Q3TTY5 F6QTU8
Q61464 F6PMJ1
Q8BG99 F6ZFA5
Q8BZ33 F6YJA2
Q03173 F6YL06
O08811 F7CZS6
E9Q6Y8 F7B1Y7
Q9R1T2 F7D5D9
Q8CFT3 F7A0C8
Q60634 F7DGI1
Q78RX3 F6USH3
Q499D0 F6ZPA5
O35492 F7B8B3
Q5SF07 F6TR20
P70333 F7BQC9
Q9D1G1 F6QSL6
P06240 F6USJ9
Q11011 F7D5D9
O88712 F6V852
Q5RL20 F7CFH4
A0A286YD43 F6R8H3
Q6PD29 F6QZJ3
Q99ME2 F6VSN2
O88532 F6QV03
P42128 F7C2H1
P25799 F6TME6
Q8R010 F7D5D9
Q9CR52 F6X3S7
P50592 F6UI77
Q9D2M8 F6YMU8
Q3UHQ6 F6UNM1
O54950 F6YMU8
Q9DAM5 F7ANZ7
