F1MA52 I3LNX4
Q9WUS0 B1NI70
D3Z962 A0A287BJR3
B1H269 A0A287AWN6
Q91ZN7 A0A287A9Y2
E9PU28 F1SKI5
E9PT58 I3LQS1
F1LSX1 F1SPJ4
Q5XI24 I3L5Q7
D3ZET1 I3LLB5
B2GUT8 A0A287A3K3
F1M9X0 I3LLL0
A0A0G2K3V9 F1RMY9
P12841 A0A287BNZ9
M0R7E6 A0A287BT17
Q4V8A9 A0A286ZLD7
D3ZD47 A0A287B685
A0A0G2K0W9 A0A023PN04
D3Z8G7 F1SAN7
Q4KM87 A0A287BL20
Q9QXY8 F1RT51
P51842 A0A287AU99
P08644 B5KFD7
Q66HE8 A0A287A176
Q6IRH4 A0A287BRX1
F1LRD7 F1S1H2
D4AEK7 A0A287B0M0
E9PTU9 F1RV73
G3V8W6 Q28987
D3ZZN9 K7GQ93
A0A0G2JV07 F1SFM8
D3ZFI7 F1SEZ1
Q66HM2 F1RZ02
G3V963 D0G0B2
A0A096MIY3 F1S488
G3V717 F1RWM5
Q5HZE5 I3LBE3
P53987 A0A287B3H4
F1M2Q1 A0A287BRX1
P38983 I3LIB1
P16970 A0A287ANH9
F1M9D6 A0A287BNK4
D3ZYC4 I3LLK3
P62997 K7GND3
D4A2M3 F1SSH9
A0A096P6L8 F1SS24
P36370 A0A287BFS7
Q4FZT6 F1RNV5
Q6AXT8 A0A287AN25
Q5U313 A0A287ARA4
P63156 D7R811
Q9JHJ1 Q867B9
F1LRL9 A0A287BL20
D4A6C5 A0A287B2B4
D3ZU79 A0A287AJF5
P21704 A0A287BJ79
D4A8L3 A0A286ZI26
O35274 F1RPT5
G3V8D5 F1S956
A0A0H2UHA6 A0A287BPQ1
G3V8X6 F1SBK5
Q6AXQ1 Q2I373
P22909 D7R811
D3ZNG4 A0A287BR15
Q8CH01 A0A140TAJ7
Q3B7L1 A0A286ZMB2
F1LQI5 F1SUQ5
P36370 I3LE63
Q64620 A0A286ZT34
P97536 F2Z5R6
E9PTS7 F1SLB6
F1MA31 A0A287A9K0
P21677 F1RVY1
P68511 F2Z4Y1
B2RYC7 F1SEA4
Q5U1Z8 F1SGV8
D3Z8I2 A0A287AMJ2
A0A0H2UI02 A0A287AJ28
A0A0H2UHB6 Q06AT4
D3ZNU1 F1S4Q6
Q8VH49 A0A287AS02
Q5I0E7 I3LPV8
D3ZV63 A0A287B6K3
D3ZRU9 A0A287B8J8
Q6PCT8 A0A286ZSL7
Q6AXT8 K7GNS9
Q5PQX1 A0A287BJH4
Q5PQX1 A0A287B0Y7
Q5M7T9 F1SGH9
Q91ZN7 A0A287AJ61
Q9WTT7 A0A287BJH4
P49088 I3LJY8
A0A0G2JSQ6 M3VK28
F1LRC6 F1SNX8
Q5I0E7 F1S488
D3ZQB7 F1S395
F1LW16 A0A286ZRN9
A0A0H2UH94 F1RJQ6
G3V8N3 F1S1D9
D3ZUJ5 Q2EN79
A0JPN1 A0A287AF83
P12389 F1RJS5
G3V6T9 F1SEJ3
P25977 F1RU38
D4A0E8 J9JIK8
D4A6E6 I3LAM6
Q4KM87 F1RFD3
Q6MGB6 A5D9P0
D4A704 A0A286ZP72
G3V8M5 I3LJC2
Q8K4H4 F1SJX5
A0A0G2K8P3 F1S8Y2
Q6AXT8 F1RUL1
A0A0G2K0D4 Q29040
D3ZZK8 A0A287AS02
P70541 A0A287BIH8
A0A140TAH3 I3LM60
D4A9D8 F1RMJ9
Q4V7E0 Q3ZDQ5
B2RZ74 I3LQB7
A0A0G2K0I4 F1SSX7
F1LN88 F1RLJ4
G3V8S5 A0A286ZS33
A0A0G2K3W4 A0A286ZP72
Q5FVL4 A0A287A7M2
Q62867 A0A286ZMB2
Q64232 A0A287BPW4
Q5QJV7 F1S1D9
F1MAL5 A0A287B726
D3ZZW2 F2Z5V1
B5DFI9 F1S525
A0A0G2K4U9 F1SP29
Q6P7B0 F1SV16
Q6AY57 D7RA31
Q5PQL2 R4JU57
D4A7D3 A0A286ZZ23
D3ZA45 F1SIA3
F1LP04 A0A287ACM5
Q9JI04 F1S3G7
Q63434 I3LBD8
F1LR10 A0A287A2U9
Q6AY02 I3L7L2
A0A0G2K5H7 F1S5D3
A0A0G2JWR1 I3L6C0
F1LSC3 A0A287A5X3
F1LRL9 F1RFD3
Q4KM95 F1RV56
D3ZKU8 A0A286ZSU9
F1MAL5 A0A287AFM0
O35179 F1SNE5
D4A929 F1SN45
A0A0G2JYJ7 A0A286ZN42
B1WC24 F1SU27
F1LS72 D0G0C6
Q8R424 F1SLF9
Q5I0J5 F1STE3
O35078 A0A287B0M4
P05982 A0A286ZR64
D4ACB8 A5D9P0
P43138 F1SAI8
Q91ZN7 A0A287BJH4
D3ZDZ0 I3LPV8
D3ZCL3 F1SJV7
G3V8N3 F1RL90
G3V8M9 F1SAH1
A0A0G2JSZ1 A0A287B4P7
D4A447 I3LRC6
F1LPP8 A0A286ZR64
Q9Z2Z8 F1S7Q6
D3ZEU8 F1RSB8
D4A333 F1RR63
M0R7R2 F1S5N5
Q99JD4 I3LEQ7
D3ZBQ1 F1RT23
D3ZPI8 A0SEH3
Q5M875 A0A287A1R7
E9PSQ1 A0A287A570
D3ZQB7 A0A286ZR64
Q641Y8 I3LG73
D3ZE01 A0A286ZQE2
Q9WV78 A0A287AU22
B1H269 F1RPH0
P63140 F1SG36
Q5BJZ0 F1RFD7
Q99J82 I3L9C8
Q6MG88 A5A8X6
D3ZME7 A0A287AIR5
B4F7A9 A5GFS8
A0JPJ7 F1RJL2
A0A0G2K2W8 F1SJ23
D3ZBX1 B7U2G9
A0A0G2K2M9 A0A287BBC3
D3ZHJ4 A0A287ASL6
A0A0G2JTY6 A0A286ZWR0
D3ZRL2 F1SBK5
D4A4Q7 F1SER5
A0A0G2K7X7 F1SMJ1
D3ZSQ1 A0A286ZX89
D3ZAB6 F1SBF0
Q5PQX1 A0A287A9Y2
D4A2T8 F1SEZ2
Q5M954 F1RRH7
Q9ERC5 F1SN65
D4A9U9 F1SS22
P63156 F1RY10
D3Z8L5 F1STY9
Q62755 A0A287BPN6
G3V7M5 F1S4A6
A0A1W2Q693 K7GQ93
D3ZS99 A0A287AWK9
Q5XIL3 F1SDD7
B5DFC0 I3L8Z6
M0R6Q6 A0A287BEL1
Q64620 A0A287B726
D4A3X3 K7GSM3
Q7TNZ5 F1SJ12
F1M1W4 A0A287B4P7
G3V8W6 F1RZA6
Q64232 F1S0D9
P10980 B6V6V4
Q5XFW6 F1RU02
B1WC22 F1S1D9
O88989 F1SF78
D4A8M7 A0A286ZP43
D3ZKI6 A0A287BAL0
Q7TSV3 A0A287AHF0
Q5XIN4 I3L7L2
P68255 A0A287AJQ1
G3V804 I3LTQ6
H9KVE3 A5A8V7
Q5XIR4 A0A287ALZ2
F1M9Y9 A0A287BLU9
Q64620 A0A287AJ61
F1LRQ5 F1RLT7
F1M8E5 I3LJC2
P14173 F1SBH1
Q62703 F1SJ93
D3ZX64 A0A287B531
A0A0G2KBA2 I3LKI5
P36372 I3LE63
D4A5U3 F1SD90
D3ZMY7 A0A286ZP43
G3V8M1 A0A287AIX3
Q4KM95 I3LVL0
Q811R2 I3LCU3
D4A6A8 F1SU46
D4A9W0 A0A287B2L2
E9PSY8 A0A287B642
Q9R010 F1SE72
G3V7Q4 A0A023PN04
F1LXF5 F1RPH0
D3ZS99 A0A287AKU1
Q5EB96 F1RF23
A0A0G2K449 I3LUH8
D4A275 F1SFM8
D3ZTG2 F1S403
A0A0G2JSR4 A0A023PN04
D4AB26 F1SCS4
Q811R2 F1S1D9
D4ACN8 A0A286ZI26
D3ZXJ0 A0A286ZY83
F1LN90 A0A286ZI78
A0A0G2KA90 F1SLB6
Q66HE2 K7GRR9
Q9WTT7 A0A287A9Y2
G3V877 K7GR08
P63156 F1STH9
Q5PQL4 A0A286ZKE4
P49950 A0A287BRX1
Q5BK82 A0A286ZRH4
F1M8Z3 I3LBA7
G3V8V1 F1SF78
Q569D2 F1SBF2
Q6PCT9 F1S0S8
A0A0G2KAH3 F1S0T9
D3ZFI7 F1SEZ2
D4A0Z0 F1SGV8
D4A6C5 F8T0U2
Q63016 A0A287A688
P30835 A0A287AQR4
A0A0G2JYV3 I3LPX5
Q8K1G0 D7R811
F1MAF8 A0A286ZQE2
A0A0H2UHU4 F1SEX6
P60889 A0A287AF83
F1LQH2 F1SBF0
P16612 A0A287AF08
F1M1W4 B1NI70
G3V8W0 F1S8D0
P16599 F1S4A6
D3Z8L5 A0A287AFM0
B2RYQ5 I3L9N5
Q5XIC0 F1RWZ4
Q56A27 F1ST49
P16612 I3LBD8
A0A0G2K1Q1 F1SAH1
P53790 A0A286ZRN2
F1LS62 A0A287AB60
Q62862 A0A287BDE6
A1A5S1 F1SNX8
P22829 A0A287ANK9
B5DEL1 A0A286ZN42
Q5M865 M3VH47
Q5QJV7 I3LBN0
M0RB75 F1S1D9
D4A929 A0A287AW46
A0A0G2K3W4 I3LD41
Q3B7L1 D7RA36
F1M820 F1RX38
B5DFI5 K7GND2
B2RZ94 F1RJE3
A0A0G2JU59 A0A286ZWR0
Q6P9X1 A5GFU7
Q5PQL2 A0A287B642
P35213 A0A286ZP65
D4A206 F1RL66
D3ZPX3 F1RHZ5
D3ZW08 F6QAM9
M0RBT9 A0A287B1W2
A4L9P7 A0A287BMZ8
Q62985 F1SK86
D4A9E7 F1SUL0
P97536 A0A287B5K1
D3ZD97 F1SGC8
F1MAL5 A0A287B642
Q9JHX4 A0A286ZTE3
Q64232 A0A287B9W3
A0A0G2JSU2 I3LRC6
P21272 E5Q8C6
D3ZFY0 A0A288CFV7
Q9JJ54 A0A287AXW5
A0A0H2UHZ0 A0A287BM19
Q4V7G0 F1SGS5
Q76IC5 A0A287AQJ0
M0R7K3 A0A287AZY6
G3V8T5 F1SCS1
M0R9F7 H2F098
D4A8A0 F1RP05
F1LRD7 A0A287BQG6
D4ABN8 A0A287BEQ8
M0RB87 F1SEL6
Q5U2T1 F1SE75
Q62862 A0A287A687
Q6AYH3 A0A287APX6
A0A0G2JXQ5 A0A286ZPM2
Q5M808 A0A287BK29
B2GUT8 F1SGV8
Q66HC8 F1RKI8
P38483 A0A286ZQ22
Q6AYS4 F1RQL3
Q8CFN2 Q007T2
G3V729 A0A287AH15
Q8R424 F1SG36
F1LM47 A0A287BLV8
Q5U313 A0A287BJH4
O88989 A0A286ZP43
G3V815 I3LSD5
F1LNG5 F1SKR9
F1M5N4 F1STS4
D4A929 F1S0W9
G3V963 F1RIA4
F1MA79 F1SKI6
F1LN92 F1RLJ4
A0A0G2JYS9 A0A287APB0
Q5XIN4 F1RUL1
D3ZSQ1 F1RRK1
Q66H56 B1NI70
A0A0G2K437 A0A287AGR2
Q5M947 F1SE06
F1LP66 A0A287BNZ9
P25977 F1RHU6
D4ABC4 F1SLB6
Q5FVK8 A0A287A2Y6
Q66HA1 A0A287BK29
A0A0G2K1X3 F1SS53
F1LXB6 I3L7T2
A0A0G2K099 P80021
Q6P736 F1RQC5
F1LQI5 F1SE91
D3ZTT7 A0A287BES3
A0A096MIY3 A0A287APS7
F1M9G6 F1RN84
P62142 A0A287AU26
Q63528 A0A287A5F6
F1LMG2 I3LCM6
Q9Z269 F1SCL0
P11507 A0A287AX48
F1M9X0 F1SSH9
P11980 A0A286ZJM4
F1M7Y3 C3S7K6
Q5FWT1 A0A287AFX1
M0R7E6 F1SJG9
F6Q5G6 A0A286ZWF3
B4F7C2 Q95250
D4ABC4 I3LBA6
A0A0G2K0B4 A5D9M6
A0A0G2JUE5 F1S047
D3Z8G7 F1SAI5
A0A096MIS7 F1RJC5
A1A5R2 F1SFM8
A0A0G2JTA1 A0A287B3M4
F1M8F0 F1SJV7
Q6IMY8 A0A287A6N8
A0A0G2JST3 A0A286ZLH7
D4A857 A0A287AQR4
Q5PPI1 A0A287ARU6
A0A0G2JUH9 F1RWF7
Q498D8 F1SCF5
Q8K4H4 F1SE72
D4A4J0 A0A287B5K1
Q07014 F1RT53
Q07936 F1SR72
A0A0G2K490 A0A287BA39
D3ZQP2 A0A287BBC6
Q9WUC8 I3LB93
F1LP04 F1SNY1
A0A0G2JSU2 A0A287ASV0
F1M8R0 F1RSB8
A0A0H2UHU4 A0A287B4V5
D3ZMN2 A0A287BM02
P60889 A0A287B2L2
D3ZA45 A0A287ANP5
B1PLB1 A0A287A3D8
D4A8A0 P62197
Q5QJV7 F1S222
A0A0G2K4I9 F1RKY2
A0A0G2K8K0 F1SV14
D3ZD97 A0A287A6N8
Q9QXQ0 A0A287B665
F1LRC6 I3LIB1
Q5U313 A0A287B0Y7
F1M8E5 A0A286ZQP7
D3ZVM4 F1SNY1
Q62985 F1RU02
A0A0G2JXQ5 F1SUL0
D4A2T8 F1SEZ1
Q5RKH2 F1SE06
D4A2M3 K7GMR6
A0A096MK76 A0A286ZUN2
G3V6T7 A0A287A4F2
F1MAM1 F1SEX6
F1M953 P80021
Q6P736 F1S8K5
D3ZFY0 A0A287A4H2
D3ZUJ5 A0A287ACM5
Q63413 Q29024
Q5BJY8 F1SJ31
Q6MGB4 A0A287AHC7
Q9Z217 A0A287B2K5
Q4KM87 A0A286ZTN4
P63156 A0A286ZW96
Q62762 F1SDH5
M0RBF8 A0A287AFM0
A0A0G2K099 I3LPP4
D4A0V7 F1STG0
G3V8Z4 A0A287ALI6
F1M9X0 A0A287BRX1
G3V888 F1SML4
G3V727 A0A287A7H6
Q2TA68 A0A286ZLB3
Q62867 F1SAM0
D4ADC7 A0A287A9N8
F1M2Q1 F1SSH9
Q76IC5 O97969
F1M8E5 A0A288CFV7
D3ZJ70 A0A287B573
P31430 A0A287AQ50
B2GUY9 A0A287A041
B0BN81 F1S5A8
D3ZRL2 F1SJ23
Q0VJ96 K9J6K3
B2RYN3 A0A286ZWJ2
Q5M971 F1SGI2
F1LV65 F1SHY4
A0A0G2JYJ7 A0A287AZ57
B2GV58 F2Z5N6
Q7TP75 F1SFI7
D3ZKF6 K7GSU4
Q924T9 A0A287B8S8
D4ADV8 A0A287AAL7
D4A2M3 F1SIK8
P63156 F1SIK8
Q62785 F1SG88
D3ZCQ7 A0A287B1W2
P18280 A0A287B6J8
F1M2Q1 F1S0T9
F1LW16 I3L7T4
Q63364 F1RUL1
Q6AYA2 A0A286ZLT0
A0A0G2K5H7 A0A287A3U2
F1LTU4 K7GK90
D4A0L1 A0A287ACT6
D3ZXX3 A0A287BPP8
F1LRJ6 F1S3E0
D3ZXF8 A0A287BPP8
Q569D2 A0A286ZRN5
D3Z840 A0A287AD78
Q5M9H7 I3LLT2
G3V8X6 A0A286ZRG1
A0A0G2JWA2 F1S475
F1LRL9 A0A286ZTN4
D3ZCS4 A0A287AJJ6
E9PTS7 F1SD90
A0A0G2KA90 F1S5D3
D3ZF19 F1RT51
F1MA97 F1SJ23
Q8R522 A0A286ZRB3
Q5PPL2 F1RQL3
M0R711 F1STY9
Q9WTT7 F1SUT8
Q1XID0 A0A286ZW96
D3Z8L5 I3L7T4
F1M062 F1RQC5
G3V8W6 F1RXE4
D3ZBQ1 E5Q8C6
D4A2M3 A0A287BRV4
A0A140TAG9 Q8HZV3
B2RYB3 A0A287AV47
Q2PQA9 A0A287BES3
D3ZQM0 F1S0W9
D4A554 A0A287AF76
P35815 A0A287A997
Q9JJ54 F1S8K5
Q9JJ54 A0A287B5K1
F1LRC6 F1RPH0
F7FNS3 A0A286ZNK2
A0A0G2K5T5 F1RJS5
D4A8B1 A0A287AKU1
B1WC22 F1RQP2
Q4KM87 F2Z5E6
P31977 A0A287B1Q0
M0R740 F1S8W8
D3ZCC7 A0A286ZW96
P60517 D7RA28
D3ZVM4 A0A286ZYH6
M0RB65 A0A287B1A7
G3V6K6 A0A286ZV23
M0RCL1 A0A287B0B0
B1WBY1 F1SAD7
Q8K1G0 K7GMR6
P49950 F1RY10
A0A0H2UHA6 A0A287BES3
Q924S5 I3L7T4
Q811R2 F1S222
B1H282 A0A286ZS52
F1LSA1 A0A286ZP43
P49000 A0A287BPP8
F1M9X5 A0A287AFZ3
D4A478 A0A287BK49
F1LMV3 A0A287BPN6
E9PSK7 A0A287BIN4
A0A0G2KBA2 F1SAI5
B2RYK7 F1RNV5
B1H269 A0A287BFY7
D3Z8X4 A0A287B611
Q6AXQ0 A0A287ATD3
Q6P736 F1RVC9
Q66HH8 A0A287A531
F1M8E5 A0A287A4H2
D3ZXC6 A0A287BCR0
A0A0G2K1X3 A0A287B519
A0A0G2K331 A0A287B2L2
P35426 F1RHJ1
P27704 B6VAQ0
B5DFB2 F1SLR5
Q5XIM9 F1S4P6
A0A140TA98 Q29024
D3ZCC7 I3LEL6
Q5XI34 P54612
B5DEZ8 F1SGH9
D3ZQM0 A0A287AW46
A0A0G2JSJ5 K9IVK6
F1LN92 I3LLQ8
Q4L0E9 Q3ZDQ5
A0A0G2K449 A0A286ZRJ9
A0A0G2JT93 Q8WNW4
P17246 F1SA70
M0RB75 I3LBN0
A0A0H2UHU2 F1RVY1
Q5BJZ5 I3LRS0
Q5U313 A0A287A9Y2
M0RB75 F1S222
I7GAZ6 F1RVY1
F1M455 A0A287BIG4
F1LW16 B5LX40
Q76IC5 F1SAH4
A0A0G2K1Q1 F1SKI6
F1LS01 A0A287BB06
D3ZQL2 A0A287B976
Q9ER24 F1SGG3
O35547 I3L9N5
Q6AYM4 F1S8U0
A0A0G2K5E7 K9IVV5
P18418 F1RU38
D4A4N1 A0A287AS02
D3ZFJ0 F1SEA4
Q499N6 A0A287AZ57
A0A0G2K8K0 F1SB42
Q5PQJ6 A0A287AEW3
A0A0G2KA90 A0A287A3U2
P04785 Q8HZV3
P85108 Q95250
Q7TQ24 A0A287BQA2
Q5RKH2 A0A287AR18
M0RDJ3 A0A287ABT2
D4A2A9 F1SIS1
P14173 B5KFA0
Q63540 F1RVF8
Q4KLJ4 F1RM20
P70597 F1SCF7
B0K014 F1RPW2
D3ZXM4 A0A287A2Y6
Q5RJQ7 A0A287AQ63
Q3SWU0 A0A287B559
Q07984 F1SGG3
Q6AYF6 F1SH98
D4AC45 B3VN02
B5DEL1 A0A287AZ57
E9PSY8 A0A286ZT34
D3ZDZ0 F1S488
A0A1B0GWW0 F1SV16
F1LS72 I3LJY8
D4A9W0 F1SNY1
D3ZKQ3 F1S4F7
F1MAL5 A0A287ARA4
P33535 A0A287A116
D3ZCS4 F1SUT8
F1M2Q1 A0A287BRV4
D3ZPJ9 A0A286ZQL9
F1LRV1 F1SSD4
D3ZRL2 A0A286ZRG1
G3V8M9 F1SKI6
F1MAF8 A0A286ZMB2
F1LRV1 F1SGP7
D3ZSB9 I3LUY4
D3ZF21 A0A287BQF8
P27704 F1SH28
A0A0G2JTY1 A0A287BM92
A0A0G2K9L9 F1RY22
A0A0G2K1G4 F1RF31
Q7TP77 A0A287B559
A0A0G2K8M2 A0A287BHE0
F1LNT0 F1SDI9
A0A0G2K449 F1SGP7
D3ZS29 A0A287B2L2
D3ZTL5 F1SNR9
G3V8G2 I3L9N5
D3ZE26 F1S360
B5DF02 A0A287B4M4
Q4V7E0 A0A287ASL6
A0A0G2JXI4 A0A023PN04
A0A140TAH2 A7J149
P11506 F1SQA7
Q5BK67 A0A287BM92
P41156 F1SMT1
A0A0H2UHU2 F1SUL0
G3V8D5 F1SH28
P63140 A0A287BPN6
G3V8L3 F1RLQ2
G3V9P7 F1S8N5
Q9WTT7 F2Z5N6
Q5RK24 Q29081
A0A0G2QC09 I3L9U8
D4A9W0 A0A287AF83
P29067 A0A287A233
A0A0G2JSJ5 A0A287AT90
M0R711 A0A286ZRN9
O88321 A0A288CG47
E9PTS7 D7RA36
D4A4Q7 I3LNG4
Q9Z2Z8 F1SAN7
G3V8B6 F1SMW9
P80386 F1RL45
D4AE21 A0A287AFY4
Q6AXQ1 I3LUG5
Q5RK08 F1RFD3
B2GV58 F1SUT8
D3ZQM0 F1SGC8
M0RBF8 F1SPZ4
D3ZVM4 F1RY55
F1M8E5 I3L7L2
F7ESD4 F1SCJ1
D3ZCC7 F1S0T9
D4A5U3 D7RA36
Q5FVN6 A0A287ANP5
P49950 D7R811
Q5BJY8 F1RT51
D4AEB3 F1SJY2
Q9Z118 Q2QLE3
Q6AYS4 F1S715
Q5PQK4 A0A287AQ36
G3V9Q4 I3LGD6
F1LS62 F1RQP2
A0A0G2KAW5 C3RZ98
F1MAK9 A0A287BFY7
D3ZCC7 D7R811
F1M987 F1SJS3
B2RZ94 F1RLC1
D3ZDZ0 F1S3E0
Q07984 K7GK90
B1H2A2 A0A287BIN4
E9PTS7 I3LBA6
D3ZLQ6 A0A287B2L2
G3V8G2 F2Z5J5
Q6MG49 A5D9M6
Q3MHU5 A0A287AQ63
D3ZCC7 F1SSH9
Q3T1H8 F1RP15
Q2PQA9 A0A287AWN6
Q9QXQ0 A0A287AX48
G3V8P2 F1S850
Q924S5 A5GFU7
Q5U313 A0A287B726
F1LRJ6 A0A286ZR64
P31977 F1SB42
A0A0H2UHK4 F1SSM3
B2RYG6 Q0PY11
Q5XI72 D0G0B2
P38983 A0A287BPQ1
Q3ZAU5 A0A287B4D6
G3V8D5 A0A286ZRM8
A0A0H2UHH0 A0A287BB52
F1LP04 A0A287B2L2
A0A0G2JTY1 A0A287BFS7
M0RBT9 F1SDH5
F1LXF5 F1SNX8
G3V7M0 A6M928
A0A0G2QC27 F1SUQ5
M0RBF8 A5GFU7
A0A0G2JXQ5 F1RVY1
A0A0G2K5H7 A0A286ZQE2
D3ZZN9 I3LKI5
D4ABN8 F1SKG4
E9PTS7 A0A286ZMB2
A0A0G2K1M2 F1SKG4
Q5PPI1 A0A287ARZ1
F1MA79 F1SAH1
P63086 A0A287BTM5
E9PTI6 F1SSL4
D3ZQM0 A0A286ZTN4
Q6P736 A0A287BT17
D3ZV15 A0A287AQB6
F1MAK3 E7CXS0
D3ZH12 A0A287BRD8
B0BNK1 I3LBB2
Q63364 F1SBF0
Q5BJS0 F1RUA0
A0A0G2K0I4 F1SGI2
D4A2B7 F2Z5E6
Q3B7V0 F1RF61
Q6QI44 A0A287BT17
Q4KLN5 I3LUA2
Q66HC5 Q06AS8
Q4FZY2 F1S7P1
Q6AXT8 A0A288CFV7
B2GUZ0 D2DGZ0
F1M6V1 F1SU06
A0A096MIY3 I3LPV8
Q5U2Y1 F1SGF1
M0RB75 A0A286ZTB1
M0R9R0 F1RYE9
D4A1T1 A1XSY8
D3ZCS4 A0A287B642
D3ZVQ9 F1SR95
Q68FP5 F1SJ73
F1LWM1 A0A286ZK26
F1M1G2 F1RP15
P38483 I3LRD1
D4A4T0 A0A287BGG6
M0R887 F1S668
A0A0H2UHA6 I3LIB1
P97639 F1SRB6
F1LS62 A6N8P5
D3ZRL2 F1SUL0
A0A0G2KAD9 F1SPP2
Q4QQV0 A0A287B749
D4A4A9 A0A287A164
P01244 F1STS4
B5DEL1 I3LM60
D4A2B7 F1RUA0
Q5PQX1 A0A287B642
Q2PQA9 I3LIB1
Q9WUS0 F1RP69
G3V8D5 A0A287AB58
F1M0M3 F1SS53
B5DEZ8 A0A287BE48
A0A0G2KAW5 F2Z5V5
P0C5H6 F1RJ91
A0A0H2UHR6 F1RN41
P27704 A0A286ZZU8
Q6AYI2 A5GFR3
D4A5T1 F1SJV7
Q9JJ54 A0A287BT17
Q9WUC8 A0A286ZJX9
F1LXU0 A0A286ZTB1
Q64350 I6L6T2
A0JPP6 F2Z5V1
D3ZE01 F1SLB6
Q5PPL2 F1S715
D4A304 Q8SPR7
E9PU28 A6M928
F1MAM1 F1S5N5
P83888 F2Z562
P18864 F1RWG2
Q4KLN5 F1RUY8
P16610 F1SUF1
Q9WUS0 K9IVK6
Q9Z2S9 A0A287A7N7
G3V859 F1SPF4
P38438 K7GL93
A0A0G2K3H5 F1SJ69
F1LRD7 F1S265
A0A0G2JWR1 A0A287BI99
V9GZ88 F1SUW7
Q9WUS0 A0A286ZK26
A0A0A0MXZ5 A0A286ZQN6
G3V836 Q29549
P18864 F1SAG1
Q4KLN5 A0A286ZQS2
D4A7Y4 I3LC77
F1LRL9 A0A287A6N8
D4A031 A0A287ASN9
Q9WTT7 A0A287AFM0
F1LQX7 A0A287B6S0
D4A0Y2 A0A287AU22
A0A0G2KA90 F1SAM0
Q5RK24 Q29036
P0C2C1 F1STE5
F1LXU0 A0A286ZKV2
Q923V4 F1RF93
Q5XIN4 I3LJC2
E9PSY8 A0A287A9Y2
M0R711 I3LGE9
Q9ER31 I3LH72
D3ZER6 F1SEX5
Q1XID0 I3LEL6
Q00969 A0A287AJ85
D3ZSD8 Q2I373
A0A0U1RS33 A0A287ATP8
D3ZRL2 F1RVY1
O35552 A0A287A688
Q5PQL2 A0A287B726
A0A0G2KAH3 A0A287BRV4
G3V8X6 I3L9K6
D3ZLC1 I3LC25
D4AC36 A0A287AQR4
Q64620 A0A287BJH4
P12346 P30555
Q59IV8 F1SRR6
P17955 I3LM60
P47196 A0A287AL02
F1M9X0 A0A287BRV4
Q5HZA2 A0A287ALL3
Q6AXT8 A0A287A4H2
D4A5U3 F1SAM0
D4A2I4 B2ZCZ8
F1LSG8 F2Z5S6
Q5U1W6 F1RWM1
A0A0G2JTT2 F1SIA4
F1LQH2 K7GNS9
D3ZUU5 F1RHJ1
M0RBT9 F1SAG1
P0C0K5 F1RQD6
F1M5N4 P01248
Q62867 F1S5D3
Q811R2 F1RL90
B5DEX9 M3VK28
Q4V7E0 F1RMC2
D3ZE01 F1SD90
Q3B7D3 F1RFL9
F1M6E5 I3LMS3
Q56R17 A0A287BNE4
Q3L472 A0A287B2K5
A0A0G2K1Q1 F1RZ96
Q5BJY9 A0A287BIG4
F1LSA1 F1S475
F1LRC6 A0A287BES3
D3ZQB7 F1S3E0
O88764 F1SG36
D4A8M7 Q8HZV3
B2RZD6 F1SE06
E9PTS7 I3LCP8
Q5QJV7 A0A286ZKV2
Q00969 A0A287BS39
Q4KM34 F1SA57
Q641Y8 F1S0N2
Q3MID6 A0A287AT18
G3V9Y6 I3L6Z7
P63156 A0A287BRX1
P04157 A0A287A997
G3V6T7 F1SV14
D3ZCQ7 F1SDH5
P08699 A3EX84
Q5RJP6 F1RT51
F1LN03 F1RF12
P49088 F1S403
A0A0G2K331 F1SNY1
Q63570 F1SEM2
C0JPT7 F1S4P6
F1LRV4 F1SMW9
F1MAF8 A0A287A3U2
F1MAK3 A0A287A6E8
B0BN81 F2Z5E6
A0A0A0MY07 F1RHU6
Q6AYA2 F1S475
E9PTS7 F1S5D3
F1LMV3 F1SG36
D4A333 F1RPM9
B1WC22 F1RL90
Q5PQK4 F1S3E0
F1M276 I3LL69
Q6P9V6 F1S0N2
Q63377 I3LRH4
D4A5C3 B7U2G9
D4A9D6 K7GND3
A0A0G2K1V9 F1RZA6
F1LNZ5 I3LC11
Q07984 I3LCM4
B2GUZ0 A0A286ZR64
Q5QJV7 A0A286ZTB1
D3ZQX4 A0A287B519
F1LQP9 A0A287B1Q0
D3ZMN5 F1SV60
F1LMV3 A0ZVR0
D4ACB8 I3LCA2
F1LQH2 M3VK32
Q496Z2 F1SIG2
D3ZUJ5 A0A287B2L2
D3ZE26 K7GR08
Q32PX2 A0A287BNE4
A0A0G2K659 A0A286ZZW3
E9PSY8 F1SUT8
B1H260 I3L6Q6
F1M8E5 A0A287AN25
F1M062 F1RVC9
A4L9P7 F1S403
D3ZMW3 F1RX98
Q63634 F1SDX2
D3ZXX3 I3LDL4
Q64620 A0A287B642
A0A0G2KAH3 F1SIK8
D3ZTG2 D0G0C6
P49088 A0A287BMZ8
B2RZD6 F1SGN4
E9PT11 Q2QLE3
Q5I0E7 F1S395
A0A0G2K3V9 A0A287B4X1
M0R711 A5GFU7
Q6P9X1 I3L7T4
Q64268 F1RKY2
B1WC22 A6N8P5
