4332 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717
9535 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q01844,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P06753,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,P19525,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
9535 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48 P04637,Q14258,P04629,P00533,P05067,Q9UKG1,Q15717,P0CG48
4333 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P24468,P04637,P05067,P04629,P00533,Q15717,Q14258,Q13573 P24468,P04637,P05067,P04629,P00533,Q15717,Q14258,Q13573
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108 P04637,Q92556,Q14258,P00533,P05067,P04629,Q15717,P46108
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297
4333 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q99598,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,P17181,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q96RK1,P04629,P05067,P00533,Q14258,Q15717,Q09472
4333 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987 P04637,Q9UHJ6,P04629,P05067,P00533,Q14258,Q15717,Q00987
4333 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297 Q15006,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9H0W5
4333 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297 Q8IUZ0,P04637,P00533,Q14258,P05067,Q15717,P04629,Q9Y297
6945 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 P09629,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
6945 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400 Q9NP64,P00533,P04637,P05412,Q15717,P04629,P05067,P68400
4512 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13469,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 O15525,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UQ88,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
4512 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q13111,P00533,P04637,Q14258,Q15717,P05067,P05412,P63104
4512 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900 Q9UBS0,P00533,P04637,Q14258,Q15717,P05067,P05412,P07900
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q01105
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,P09651
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q96SB4
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
11544 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365 P05067,P04637,P04629,Q15717,P0CG48,P00533,P05412,Q15365
9334 Q14258,P04637,P00533,P04629,Q01105,P05067,Q15717,P0CG48 Q14258,P04637,P00533,P04629,Q01105,P05067,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P48730,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62888,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62899,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P61962,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P46783,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62913,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P61513,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P51959,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P51959,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62249,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P49761,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P49761,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,Q15831,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,Q9NSC5,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P48730,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62263,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P48730,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P48730,Q15717,P0CG48
9518 P04637,P04629,Q14258,P05067,P00533,P48730,Q15717,P0CG48 P04637,P04629,Q14258,P05067,P00533,P62888,Q15717,P0CG48
