D3ZBY5 K9IVV5
F1LP04 A0A286ZYH6
F1LPP8 A0A286ZJL1
G3V8M5 A0A287A4H2
E9PU01 I3LC25
A0A0G2K5H7 F1S5D3
Q5FVI6 Q2EN79
Q6AYA2 A0A286ZLT0
F1LN91 F1ST78
A1A5S1 F1RPH0
F1LRP7 A0A286ZTN5
A0A0G2KA90 F1SLB6
B1WC74 I3L592
Q64620 A0A287B0Y7
A0A0G2JWX1 A0A287BNE4
D4ACG2 A0A287BBJ7
D3ZS29 A0A287AF83
A0A0G2JTY6 A0A286ZWR0
A0A0G2JZD1 F1S9Y5
M0RBF8 F1STY9
A1A5S1 I3LC25
A0A0H2UHU4 I3LN88
D3ZZZ9 F1SGS6
F1LR42 F1S9I0
F1M4M5 A0A287B540
A4L9P7 A0A287BMZ8
G3V7M5 A0A286ZUN2
F1M6E5 F1RQB0
D3ZVM4 F1RY55
Q6P9X1 I3LGE9
D3ZUX5 F1SNF6
P29066 A0A286ZND1
Q07984 K7GK90
D3ZXF8 A0A287BPP8
D3Z962 F1S9I0
Q63151 I3LLQ8
B5DF91 D3K5N7
A0A0G2K659 A0A287BH84
B2GV58 A0A287AJJ6
F1LQI5 F1SE91
Q924S5 I3L7T4
D3ZLS5 A0A286ZP43
P49000 F1S8U4
D4AD02 F6PY91
Q62762 F1SAG1
A0A0G2K8Q8 F1RY55
Q5PQL2 F1SUT8
B0BN81 A0A287A6N8
P10361 Q9TUB2
P60522 F2Z5I0
A0A0G2K5E7 F1SHV8
D3Z9C0 D3K5M2
D3ZA45 F1SRM3
Q7TNY1 A0A287AZ57
G3V815 I3LSD5
D4A6A8 A0A286ZLT0
B1H282 A0A286ZS00
Q811S9 F2Z5F5
P05982 F1S3E0
Q5RKH2 F1SE06
Q7TP21 I3LHB2
Q5PQX1 F2Z5N6
D3ZD97 F1S5A8
G3V870 A0A287B4D6
P17246 F1SA70
Q5U367 A0A286ZS00
D3ZUX5 D0G0C6
F1LN92 F1SR72
Q07936 F1SR72
A0A0H2UHA6 F1SNX8
Q66H47 F1SCF5
Q63016 A0A287A5I0
G3V877 F1S4A6
Q5BJS0 F1RFD3
Q66HA1 F1S5N5
D3ZBQ1 E5Q8C6
O35814 F1RT53
D4ABC4 F1S5D3
D3ZN76 A0A287B4X1
D3Z8L5 A0A286ZRN9
A0A0G2JSQ6 A0A287A5F6
Q4KLL7 A0A286ZIG4
P17955 A0A286ZN42
F1LS72 F1S403
Q6P9V6 F1S0N2
A0A0G2JSU9 A0A287AT90
Q2TA68 A0A286ZLB3
G3V8W6 F1SCJ1
A0A0G2JSP3 A0A287A2J9
D4A704 F1RQ12
D3ZTT7 I3LIB1
F1LXF5 I3LIB1
D4ABC4 I3LBA6
A0A0G2K0K8 F1SDX4
D3ZLC1 A0A287AWN6
D3ZUJ5 Q2EN79
G3V9Q4 F1S0U6
Q3SWU0 A0A287B559
A0A096MIY3 I3LPV8
P19139 F2Z5I5
P11505 I3LGE9
B0BN81 F1SN45
Q9R019 F1SMT1
D4AD02 A0A287AH52
Q63768 A0A286ZTD8
D3ZZN9 F1SAI5
Q9WTT7 A0A287BJH4
D3ZAB6 F1SBF0
D3ZE75 E7CXS0
P11505 A0A287AFM0
D3ZJX5 A0A286ZLH7
A0A096MIY3 F1S395
Q6IFW6 F1RJU1
D3ZQM0 A0A287BL20
F1MAL5 A0A287A9Y2
A0A0G2QC27 F1SUQ5
F1LW16 A0A287AFM0
O88656 A0A287A7H6
A0A0G2K8U5 A0A287BM02
G3V7D8 O62640
A0A0H2UHA6 A0A287BFY7
Q498D8 F1RHJ1
O88989 F1SHF6
G3V8M5 F1SBF0
Q64350 I6L6T2
B2RYB3 A0A287AV47
B0BN81 A0A286ZTN4
D3ZFY0 I3LJC2
M0R7R2 A0A287BK29
A0A0G2JSI8 F1RTM6
Q5RK08 F1SGC8
O35547 A0A287BK93
F1LSA1 F1SU46
D4A8M7 A0A286ZLT0
D4A8I8 A0A286ZTE3
D3ZD03 A0A286ZZW3
A0A0G2KA90 A0A287A3U2
D3ZQN8 M3VK28
Q2PQA9 I3LC25
D3ZDZ0 F1S395
M0R7R2 F1SEX6
Q499N6 F1RL85
A0A0G2JYJ7 A0A287AZ57
D3ZER6 F1SEX5
A0A0G2JYJ7 A0A286ZN42
D3ZCQ7 F1SAG1
Q64232 A0A287B9W3
F1LM09 F2Z5F5
A0JPP6 F2Z5V1
Q5FVI6 A0A287ACM5
A0A0G2K1V9 A0A287B425
E9PSY8 A0A287AJ61
Q811S9 F1SH97
A0A0G2K2J0 I3LJE1
A0A0G2JSU9 F1RT53
P25977 F1RU38
Q9ESB5 A0A287B321
P07150 F1SJB5
G3V8D5 A0A287AX02
D3Z8L5 I3L7T4
Q5XIN4 A0A287A4H2
A0A0H2UHM5 F1SMN1
Q5U302 F1SC64
F1MAB8 D9U8D1
M0RBT9 F1SDH5
P18864 F1RWG2
D4AE10 A0A287BBE4
O35179 F1SNE5
D3ZQM0 F1SGC8
F1LRL9 F1SGC8
Q56R20 F2Z5F3
P35426 F1RHJ1
Q66H47 F1RHJ1
A0A0G2JSQ6 F1SMT1
D3ZXF8 I3LDM6
Q9WTT7 A0A287ARA4
D3ZV63 A0A287B6K3
A0A0H2UI20 A0A287AT90
Q569D2 A0A287A440
F1M4M5 Q8HZV3
O35552 A0A286ZVH7
D4ACB8 A5D9P0
D3ZTT7 A0A287BES3
Q5RK08 F1RFD3
F1LXF5 A0A287BES3
E9PTR3 I3LM60
Q5XIN4 A0A287AN25
Q2PQA9 F1RPH0
A0A096MK76 K7GR08
Q63364 I3L7L2
F1MAF8 D7RA36
D3Z962 A0A287BJR3
F1M589 F1SID1
Q5FVC2 I3LEZ7
A0A0G2K3H5 Q2EHH8
D4A100 F1RS27
Q5PQK4 F1S488
F1LR42 A0A287BJR3
Q811S9 F1SJ69
D4A478 F1RGU8
F1MAM1 F1S5N5
Q5RK08 F1ST49
G3V888 F1SML4
Q91ZN7 F1SUT8
D3ZZN9 I3LKI5
Q5PQK4 I3LPV8
F1M8E5 F1SBF0
E9PTS7 F1S1F1
Q5M865 F1SMT1
E9PTS7 I3LBA6
F1LN92 F1RLJ4
Q56A27 F1SN45
Q5PQX1 A0A287AJ61
P60889 A0A287ACM5
Q9ER24 I3LCK3
D3ZTM7 A0A286ZSF6
Q5FVN6 F1SRM3
D3ZXX3 I3LDM6
B1WBV3 I3LDU2
Q66HM2 F1RZ02
F1MAF8 A0A287A3U2
D3ZA45 F1SIA3
A0A0G2KA90 F1SAM0
P14659 F1SA70
D3ZFY0 M3VK32
F1LRL9 F2Z5E6
O35552 A0A287A688
D4AE96 A0A287B665
Q496Z3 Q1G1K7
D4A6A8 F1SAQ6
F1M1W4 A0A287B4P7
Q6IMY8 F2Z5E6
Q5PQK4 F1SRK8
P49088 F1SNF6
B1H282 A0A286ZS52
D3ZE01 A0A286ZMB2
Q811S9 F1RKZ6
F7ENQ2 F1SHV1
Q5FVJ5 A0A287ALF8
Q6P7B6 F1RGU8
F1M8E5 K7GNS9
O35814 I3LNG8
B1H282 I3LA84
D3ZDZ0 F1SRK8
A0A096MIY3 A0A287APS7
D3ZME7 A0A287AIR5
Q63151 F1SR72
F1MAK3 E7CXS0
P25977 P67776
A0A0H2UI20 I3LNG8
D4A0A0 A0A287ABY4
D3ZQR6 I3LSJ5
G3V8S7 F1RS27
Q6XVN8 D2KQR0
O35552 F1RT53
D4A5U3 A0A286ZQE2
P41777 I3LBB2
A0A0G2KA90 I3LBA6
Q6P7R8 I3LJY8
G3V815 A0A287BT02
Q924S5 I3LGE9
Q66H56 A0A286ZK26
D3ZXF8 F1S8U4
P49088 I3LJY8
F7FNS3 A0A286ZRV2
P11505 A5GFU7
Q9ESZ0 A0A286ZV44
P49088 D0G0C6
A0A0G2JY58 A0A287AYD9
F1LW16 A0A286ZRN9
F1M9X5 A0A287AFZ3
Q56A27 F1ST49
P49000 I3LDL4
F1LSA1 A0A287B540
Q68FR9 I3LP11
Q63364 A0A288CFV7
Q07014 A0A286ZVH7
G3V8T5 F1RIP4
Q5XI72 D0G0B2
B0BN81 A0A287BL20
D4A8I8 F1RHJ1
G3V9L3 B7U6F4
M0R711 F1STY9
Q91ZN7 A0A287AJ61
Q4FZS2 F2Z5F3
P05982 A0A286ZR64
D4AE96 A0A287B2B4
F1LQS1 A0A286ZS00
Q66H56 B1NI70
O35078 A0A287B0M4
P16599 A0A286ZUN2
Q5M9G3 F1SGS6
B2GV58 A0A287AJ61
Q4KLL7 A0A287AP23
Q91ZN7 A0A287B642
F7F0B1 D4P3C2
F1M3K6 A0A287BA12
B2RZD6 F1SGN4
Q9WTT7 F1SUT8
A0A096MIV5 F1S4Y9
B0BN81 F1ST49
A0A096MIY3 F1S3E0
A0A0G2K8U5 I3LNN4
A0A0G2KA75 A0A287A2U9
Q5PQX1 A0A287ARA4
A0A1W2Q693 F1SAN7
F1M9Q8 I3LBA6
G3V9Q4 P36968
Q66H76 A0A287BTJ4
Q6MG13 I6L6T2
A0A0G2JSU9 I3LNG8
Q498D8 F1SCF5
A0A0G2K0W9 F1SMN1
D3ZA45 A0A287ANP5
F1MAL5 A0A287BJH4
D3ZN76 F1RMY9
A0A0A0MY07 F1SKD5
D4A6A8 F1S475
Q5U3Y0 F1RUP2
D3ZAB6 A0A286ZQP7
A0A0G2JWA2 F1SAQ6
D4A4T6 I3LPN4
D3Z8L5 A5GFU7
O88989 Q8HZV3
Q07984 F1SGG3
Q5U367 A0A287AXP9
A0A0G2JTA1 A0A287B3M4
M0R711 F1SNG6
A0A0G2JSQ6 M3VH47
P05982 F1S488
Q5M808 I3LN88
F2Z3T9 F2Z5F3
Q5XHY0 A0A287ARU6
B2RZ74 F1SJG9
Q66H56 I3LRN2
F7F9U6 I3LC09
A0A0H2UHU4 F1S5N5
A0A0G2K3W4 A0A286ZP72
D3ZUY8 F1SIA4
Q9ER24 A0A286ZLH7
D3ZBN4 F1RIA4
Q5PQX1 A0A287B726
P05982 I3LPV8
G3V8M5 M3VK32
P49088 A0A287BMZ8
A0A0G2K0B4 A5D9M6
G3V8D5 F1SH28
Q6AYA2 F1SU46
E9PSY8 A0A287AFM0
Q63016 A0A286ZZW4
G3V815 A0A286ZIJ9
D3ZTT7 A0A287BFY7
Q4FZS2 A0A287B2L4
A0A0G2K3H5 F1SH97
Q3MHS9 F1RKZ6
E9PSY8 A0A287A9Y2
P60889 A0A287AF83
Q9WTT7 R4JU57
E9PT51 I3LMX3
P97536 F2Z5R6
Q4QRB4 F1S6M7
Q9Z2Z8 F1SAN7
Q5FVC2 A0A287B6A9
Q66HA1 F1SEX6
V9GZ88 I3LEQ7
G3V877 K7GNX2
Q641Y8 F1SML4
Q5U2S0 F1RXC6
D3ZTT7 A0A287AWN6
M0R7E6 A0A287AJ85
D4AA11 F1SG80
Q5D006 F1S488
A0A0G2JUH9 F1RWF7
Q07014 A0A287A688
Q6DGF9 A0A287ARC2
Q6AYA2 Q8HZV3
D4AEB3 F1SGX2
Q07014 F1RT53
F1LPP8 P61291
D3ZMN5 A0A287B757
D3ZXC6 A0A287A5F6
Q6P9V6 F1SML4
A0A140TAH3 I3LUD5
D3ZAB6 M3VK32
P68370 A0A287APW0
G3V8D5 B6VAQ0
B2RZD6 A0A287AYL9
Q00969 A0A287BS39
Q3SWU0 A0A0R4J8D6
A0A0G2K612 M3VH47
G3V7K9 A0A287AHC7
O35552 K9IVK6
P41156 F1SMT1
Q2EJA0 E5Q8C6
Q66HM2 F1RJ01
A0A0G2JST3 I3LCK3
M0RBT9 F1RWG2
E9PTR3 A0A287AZ57
Q3L472 A0A286ZXE1
F1M9Q8 F1S5D3
Q64350 Q767K6
P07340 F1SPZ4
D3ZQB7 A0A287APS7
B5DEL1 I3LM60
Q5XIW8 F1RU31
F1LQH2 A0A287AN25
Q66X93 F1SML4
Q6AYA2 A0A286ZP43
D3ZE26 F1S360
Q62867 A0A286ZQE2
D3ZE01 F1S5D3
F1MAK9 F1SNX8
F1LPT7 I3LG19
F1M1W4 K9IVK6
Q5U302 A0A286ZRV2
P08644 A0A287B854
A0A0G2JSZ1 A0A287AHQ8
D3ZAB6 A0A287A4H2
A0A1B0GWW0 K9IVV5
G3V9P7 F1S8N5
A0A0G2K5H7 A0A286ZQE2
A0A0G2JTT2 A0A287B2B4
A0A0G2K612 F1SMT1
Q5U313 R4JU57
A0A1W2Q693 K7GQ93
D3ZDZ0 A0A286ZR64
D3ZSQ1 F1RRK1
Q498N4 F1RL66
Q5U313 A0A287B0Y7
D4A2B7 A0A287AW46
P85108 Q95250
B1H2A2 A0A287BIN4
D4A9W0 Q2EN79
Q6AXT8 I3L7L2
Q3MHS9 Q2EHH8
E9PSY8 A0A287B642
Q5FVI6 A0A287AF83
F1LRJ6 I3LPV8
A0A0G2KA90 F1S5D3
D4A6A8 A0A287B540
B0BN81 F1RFD3
Q6IMY8 F1S5A8
D3ZQM0 A0A287AW46
F1MAK9 F1RPH0
Q91ZN7 F2Z5N6
D3ZFY0 I3L7L2
Q641Y8 F1S0N2
Q5RK09 F1S3I3
Q4FZS2 I3L9F7
A0A0G2JYJ7 I3LM60
A0A0H2UHU4 A0A287BK29
F1MAM1 A0A287BK29
D3ZVM4 A0A286ZYH6
Q6AXS5 F1S827
E9PU01 I3LIB1
F1LRJ6 F1S488
G3V815 A0A287B749
B2GV58 F2Z5N6
G3V8M5 I3LJC2
D4AEB3 F1S057
D3ZLC1 A0A287BES3
A0A0U1RS33 A0A287ATP8
E9PU28 A6M928
Q66HC5 Q06AS8
Q4KLJ3 A0A287AKR9
F1M4M5 A0A286ZLT0
A1A5S1 A0A287AWN6
G3V877 A0A286ZUN2
Q5M9F8 A0A286ZZ23
B5DEL1 A0A286ZN42
D3ZE75 A0A287B749
F1LWM1 A0A286ZZW4
F1MAK3 A0A287BT02
G3V826 A8U4R4
A0A0G2K3V9 F1RMY9
F1M1D5 F1RZZ1
A0A0G2K3H5 A0A286ZS00
Q6MGB4 F1S009
B1H282 F1SH97
Q6IMY8 F1ST49
D4A704 A0A286ZP72
Q3B7L1 A0A286ZQE2
P27704 A0A286ZZU8
D3ZMY7 F1S475
F1LW16 F1STY9
A0JPN1 A0A287ACM5
Q6P7R8 A0A287BMZ8
D3ZZW2 A0A286ZSJ2
F1LRJ6 A0A286ZR64
F1MAF8 F1SLB6
D4AD02 F1SV80
G3V963 F1RIA4
P11505 F1STY9
Q5PQL2 A0A286ZT34
G3V7M5 K7GNX2
A0A0G2K5H7 F1SD90
D3ZFY0 A0A287A4H2
Q68FP1 A0A287AMB2
A0A0A0MY07 F1RHU6
D3ZVM4 A0A287AF83
F1MAM1 F1SEX6
B0BN81 F1S5A8
D3ZFY0 F1RUL1
F7EWN2 F1SBW5
Q5M865 Q864V7
P61983 A0A287BKI1
Q56R20 A0A287B2L4
Q56A27 F1RFD3
Q2PQA9 I3LIB1
D4A2B7 F1ST49
F1LTU4 K7GK90
P27704 Q19ML6
Q5FVK8 A0A287A2Y6
F1LW16 A5GFU7
A0A0G2K331 A0A287B2L2
Q63364 A0A287AN25
H9KVE3 K9IVL0
F1LRP7 P62844
D3ZDI4 F1RXF9
Q62867 F1S5D3
Q56A27 A0A287BL20
Q62867 F1SLB6
D3ZS29 F1SNY1
G3V829 A0A287AVF4
Q9ER24 I3LCM4
P27704 K7GT60
Q7TP77 A0A0R4J8D6
D3ZER6 A0A286ZJ26
D3ZJX5 I3LCK3
Q66H56 A0A287AHQ8
A0A0G2JSU9 A0A286ZK26
D3ZLS5 F1SHF6
A0A0G2K5H7 I3LBA6
Q6AYM1 F1SMG4
Q5D006 A0A287APS7
P05982 F1SRK8
Q5PQX1 A0A287B0Y7
D4A8I8 F1SCF5
Q6AY02 A0A288CFV7
R9PXS3 F1RKW0
Q5U313 A0A287ARA4
Q9WTT7 F2Z5N6
Q07014 I3LNG8
Q5BJS0 A0A286ZTN4
G3V8D5 A0A287B0I0
B2RZ74 F1S3I3
F1LRL9 F1ST49
Q66HA1 I3LN88
F7ESD4 F1SCJ1
O35814 A0A287A688
Q68FP5 F1SJ73
A0A0G2JU59 A0A286ZWR0
Q3L472 F1SBF2
D3ZD97 A0A287BL20
Q924S5 A0A287AFM0
D4A9V4 A0A287A997
D3ZMN5 F1SV60
F1LTU4 A0A286ZLH7
D3ZVQ0 F1SLU6
Q5U367 F1SH97
D4A9W0 A0A287ACM5
G3V9Q4 I3LGD6
P05982 A0A287AQ36
D4ABC4 F1S1F1
F1M4M5 F1SHF6
Q4KLL7 A0A287BA12
A0A0G2JWA2 A0A286ZLT0
F1LW16 F1SNG6
A0A0G2JTR4 A0A287BT99
Q569D2 A0A286ZRN5
A0A0G2K3V9 A0A286ZU72
Q5I0E7 A0A287AQ36
A0A1B0GWW0 F1SV16
O70521 A0A287BIN4
D4A6C5 A0A287B2B4
A0A0G2KBA2 F1S7Q6
E9PTS7 F1S5D3
Q6MGB6 F2Z5J1
F1LRC6 A0A287BPQ1
D4ABC4 A0A286ZMB2
Q9Z2S9 A0A287A7N7
A0A140TAD2 I3LII4
Q5PQL2 A0A287B0Y7
Q6MG13 Q767K6
G3V8D5 A0A286ZZU8
P21272 F1RT23
Q3B7L1 F1SLB6
Q9R080 A0A287B4X1
M0R711 A0A286ZRN9
Q5U367 F1RKZ6
D3ZQM0 F1SN45
O35303 I3LR66
D3ZLQ6 F1SNY1
P07340 I3LGE9
Q6P9X1 A5GFU7
B1H269 F1SNX8
Q7TNY1 I3LM60
Q5U313 A0A287AJ61
Q5U313 A0A287B642
B2RYK0 F1SF72
A1L1I3 A0A286ZJP2
Q5M865 M3VK28
D3ZQM0 F1RFD3
D3ZB71 A0A287AJQ6
F1M8E5 F1RUL1
F1M3K6 A0A286ZIG4
M0R7R2 I3LN88
Q5BJS0 A0A287A6N8
A0A0G2JT93 A0A286ZJM4
B6RHI6 K7GNF0
G3V913 Q5S1U1
D4A8M7 F1SAQ6
Q6P9X1 A0A287AFM0
G3V8G2 I3L9N5
D3ZV63 F1S2Z9
A0A0G2KBC7 I3LSD5
Q5M808 F1S5N5
M0RBF8 A0A287AFM0
Q4KM87 A0A286ZTN4
Q64620 F2Z5N6
D3ZMN5 A0A286ZZ95
F1M0R1 A0A287B425
Q4QQV0 A0A287A6E8
F1LQS1 F1SH97
P17955 I3LM60
B2GV58 A0A287BJH4
Q64620 A0A287B726
A0A0G2KA90 D7RA36
G3V8W6 F1RZA6
A0A0G2JU59 A0A287BLE1
P63170 D9U8D1
P52631 Q19S50
D3ZLC1 A0A287BFY7
Q6AY57 F1S8U4
Q6IMY8 F1SGC8
P25977 F1SKD5
M0R711 P05027
Q62867 D7RA36
O88989 F1S475
A0A0G2K0W9 A0A287AT18
A0A1W2Q693 I3LKI5
Q66X93 F1S0N2
Q5PQL2 R4JU57
D3ZNQ6 A0A287ATD3
M0R711 I3LGE9
Q6P7A7 I3L9F7
Q811S9 I3LA84
D4A5U3 F1S1F1
Q5M865 M3VH47
Q5I0E7 I3LPV8
D3ZDZ0 F1S3E0
D4ABC4 D7RA36
D4AD02 I3LA17
M0R7R2 F1S5N5
D4A5U3 I3LCP8
Q6AXY9 F1RF23
B1H269 A0A287BPQ1
A0A0G2K5H7 A0A286ZMB2
G3V7K9 F1S009
D4A9N5 K7GR70
D3ZCS4 F2Z5N6
D3ZS29 A0A286ZYH6
Q66H47 A0A286ZTE3
F1MAF8 F1S1F1
Q5U313 A0A287BJH4
F7FNS3 F1SC64
F7ESD4 F1RXE4
Q9WTT7 A0A287B0Y7
F1LS72 D0G0C6
G3V8M5 A0A288CFV7
D4A554 A0A287AF76
Q7TNY1 A0A286ZN42
F1LPP8 F1S395
O70521 A0A287AFY2
A0A0G2JWA2 A0A287B540
Q3MHS9 A0A286ZS52
Q07936 I3LLQ8
D3ZUD8 A0A287A688
A0A0G2JWA2 F1SHF6
A0A0G2K5U0 A0A286ZQA1
F1LXF5 F1RPH0
F1LMH8 A0A287BEY7
Q62762 A0A287B1W2
B0BN81 F1S0W9
F1M9Q8 F1SLB6
P38983 A0A287BES3
D4A5U3 A0A286ZMB2
D3Z8L5 F1STY9
A0A0G2JSJ5 A0A287AT90
Q32PX2 A0A287ATD3
P27704 B6VAQ0
Q9Z270 A0A287BBB5
D3ZS29 Q2EN79
Q5U3Y0 A0A286ZWR0
O35552 A0A287A5I0
F1MAL5 A0A287ARA4
F1LTU4 I3LCM4
Q07984 I3LCM4
A0A0G2KA90 A0A286ZQE2
G3V8T5 F1SCS1
M0R7E6 I3LI05
D4A2B7 F1SN45
D4AEB3 F1SAY9
B2GV58 A0A287A9Y2
A1A5S1 A0A287BFY7
Q9WTT7 A0A287AJ61
F1M9X5 Q95250
D3Z9J4 F1SI41
P08592 P79307
F1LR10 D9U8D1
F1LW16 I3LGE9
A0A0H2UHU4 A0A287B4V5
D3ZE01 A0A286ZQE2
A0A140TA98 A0A286ZS52
D3ZTT7 F1SNX8
Q924S5 F1SNG6
Q641X9 I3LR45
F1LPP8 F1S3E0
A0A0G2JUQ3 A0A287ANP5
G3V717 F1RWM5
F1LRJ6 F1S3E0
E9PSK7 F1SDX4
P07340 P05027
Q6P7R8 D0G0C6
Q07014 A0A287A5I0
Q99JD4 I3LEQ7
F1M4M5 F1S475
Q62867 F1SAM0
D3ZE75 A0A287A6E8
Q4QQV0 A0A287BT02
P27704 F1S956
D3ZQB7 F1SRK8
O88989 A0A287B540
F1LRC6 A0A287BES3
D3ZD97 F1S0W9
Q6MGB6 A5D9P0
F1LW16 B5LX40
D4ACB8 F2Z5J1
F1MAK9 I3LC25
E9PTS7 A0A286ZQE2
Q56R20 A0A287BR84
Q9WTT7 A0A286ZT34
D3ZLS5 Q8HZV3
A0JPN1 A0A287AF83
Q5PQK4 A0A286ZR64
D4AC36 A0A287AQR4
D3Z8L5 A0A287AFM0
D3ZE26 K7GR08
D3ZQM0 F1S0W9
Q3B7L3 A0A286ZKL8
G3V8G2 A0A287BK93
Q5XIN4 A0A286ZQP7
A0A0G2K0I4 F1SGI2
B2RYB3 A0A287BDL6
D4A9W0 A0A287B2L2
A1A5S1 I3LIB1
G3V932 F1SPW6
P25977 F1RQY4
D4A5U3 D7RA36
Q5RKH2 F1RVY7
E9PTR3 F1SP38
Q64232 F1S0D9
D3Z8G7 I3LKI5
G3V815 A0A287A6E8
D4A8M7 F1SU46
B2GV58 A0A287B642
A0A140UHX0 A0A287BBY6
Q64232 A0A287A9I8
B0BN81 F1SGC8
P62997 Q06AA7
F1M9Q8 A0A286ZQE2
P62997 K7GND3
Q07014 A0A286ZK26
Q4V893 F1SF72
F1M1W4 F1RP69
Q3B7L1 F1S1F1
A0A0G2JTT2 F1SIA4
Q66H50 Q52NJ5
Q5PQL2 A0A287AFM0
B0BNG7 A0A287BNE4
P49000 A0A287BPP8
P70541 A0A287BIH8
E9PTS7 D7RA36
P05982 F1S395
A0A096MIY3 F1SRK8
P27704 K7GSM3
B1H282 F1RKZ6
P61212 F1SGG3
D3ZGM8 F1SEV3
A0A140TA98 F1RKZ6
D3ZUD8 A0A286ZVH7
Q5FVN6 A0A287ANP5
Q5M971 F1SSX7
Q9WUS0 B1NI70
G3V8W6 F1RXE4
F1LXV3 B7U6F4
D3ZCS4 A0A287B0Y7
Q5PQL2 F2Z5N6
A0A0G2K8U5 A0A287ATN9
Q5U367 F1SJ69
F1LQS1 F2Z5F5
Q5M947 A0A287AR18
A0A0G2K3V9 A0A286ZV83
P35739 F1RHK6
Q56R17 A0A287ATD3
A0A0G2JSH5 I3L638
P38983 A0A287BPQ1
D4A206 F1RL66
D3ZUU5 A0A286ZTE3
A0A140TA98 A0A287AXP9
F1LS72 F1SNF6
Q6MGB6 F1RKW8
P16599 K7GNX2
Q9R080 A0A286ZV83
B2GV58 A0A287B0Y7
P43138 F1RZ02
A0A0G2JWA2 A0A286ZP43
Q62867 I3LCP8
Q62762 F1RWG2
A0JPN1 A0A287B2L2
Q5U313 A0A287A9Y2
Q498D8 A0A286ZTE3
F7FG31 I3LNG8
D3ZUY8 A0A287B2B4
A0A096MK76 F1S4A6
D3ZCS4 A0A287AJ61
P07340 F1STY9
H9KVE3 A0A287BRJ4
F1LQH2 A0A288CFV7
Q5PQX1 A0A287AFM0
A0A0H2UHA6 A0A287BPQ1
B0BNL2 I3LTD6
D3ZH12 A0A287BRD8
F1LM09 A0A286ZS00
G3V9Q4 F1SGX2
Q9R080 A0A286ZU72
Q5U313 A0A286ZT34
Q5XIN4 I3LJC2
D4A5U3 F1SD90
Q4KM87 F2Z5E6
G3V8G2 F2Z5J5
A0A140TAH3 A0A287AZ57
F1LPP8 A0A287AQ36
A1A5S1 A0A287BPQ1
P17955 F1SP38
Q6P7R8 F1SNF6
Q66HA1 A0A287B443
P30835 A0A287AQR4
A4L9P7 F1SNF6
Q5PQK4 A0A287AQ36
D4A8M7 F1S475
Q5RK08 A0A287BL20
F1MAF8 F1S5D3
Q64620 A0A286ZT34
A0A0G2K3V9 A0A287B4X1
Q7TQ24 A0A287BQA2
A0A0G2JSZ1 B1NI70
Q6AXT8 A0A288CFV7
M0RD54 A0A287ASF2
D3ZJX5 I3LCM4
A0A140TA98 Q2EHH8
B2RYQ5 A0A287BK93
D3ZXM4 A0A287A2Y6
D3ZD97 F1RUA0
D3ZXX3 F1S8U4
F1M4M5 A0A286ZP43
D3ZJX5 F1SGG3
M0R7E6 F1S3I3
D3ZFY0 A0A288CFV7
Q68FR9 F1RHU6
E9PT58 I3LQS1
D4ABC4 F1SAM0
Q6P7A7 A0A287BR84
D4A3E2 I3LU32
A0A0G2JYJ7 F1RL85
M0RBT9 A0A287B1W2
D3ZFY0 F1SBF0
D4A6A8 F1SU46
P27704 A0A287B0I0
D4A2B7 A0A286ZTN4
A0A0G2K3W4 F1RQ12
Q5FVM2 P61291
F1LRL9 A0A287BL20
A0A0G2JUQ3 F1SRM3
P49088 F1S403
A0A0G2JYJ7 F1SP38
A0A0G2K331 A0A287AF83
Q3B7L1 I3LCP8
Q07984 A0A286ZLH7
D4A8M7 A0A286ZP43
D3ZUX5 F1S403
Q6AXT8 I3LJC2
Q91ZN7 A0A287AJJ6
F1M8E5 M3VK32
A4L9P7 I3LJY8
D4A2B7 F2Z5E6
Q6AXT8 K7GNS9
F1LRJ6 A0A287APS7
B1WC25 Q06AS8
G3V7M5 F1S360
O35814 A0A287A5I0
Q5RK08 F1S0W9
Q63151 F1RLJ4
Q6P9X1 I3L7T4
D4A055 A0A287AHZ5
F1MA31 A0A287A9K0
A0A0G2K5H7 D7RA36
D3ZFY0 K7GNS9
D4A8G7 I3L897
F1M1W4 A0A287AHQ8
Q64620 A0A287BJH4
D3ZE26 K7GNX2
F1LSA1 Q8HZV3
D3ZDZ0 I3LPV8
Q5BJY9 A0A287BIG4
P16599 F1S4A6
G3V681 F1S4Y9
E9PTS7 F1SD90
D4AEB3 P36968
Q6TQE1 M3UZ00
B5DEL1 F1RL85
Q5BJS0 F2Z5E6
A0A0G2K490 A0A287BA39
Q66H56 F1RP69
G3V727 B5APU6
F1LRP7 A0A287B5S7
F1LRC6 A0A287AWN6
P60889 A0A287B2L2
D3ZDZ0 F1S488
P38983 F1RPH0
A0A0G2K4T5 A0A287AVE2
B0BNK1 I3LBB2
D3ZSQ1 A5GFT5
D3ZQB7 I3LPV8
F1M1W4 B1NI70
B1H269 I3LC25
D4A478 A0A287BK49
P38983 I3LIB1
B2RYQ5 F2Z5J5
F1LP66 D5KJI2
F1LQH2 F1RUL1
F1LRL9 F1S0W9
D3ZBY5 F1SV16
D4AEB3 F1SJY2
B1H2A2 F1SDX4
Q5RK09 F1SJG9
D3ZQB7 F1S488
Q6AYI2 A5GFR3
F1MAK9 A0A287AWN6
Q4KM87 F1RUA0
