F1RWA0 A0A1B0GR74
F1SAQ6 Q62415
F1S7K1 Q03173
A0A286ZRE9 Q69ZZ6
I3L5R5 Q61696
F1RRI6 A2A7S8
A0A287AXP1 A0A0R4J187
F1S8V5 Q03173
I3LG77 Q8R1N4
F1SDV1 Q80ZW2
F1S001 P63163
A0A287AW37 Q6NZB1
F1SQT2 P97504
I3LT49 Q3UHQ6
A0A286ZWP6 Q3UJB0
F1SUT8 P32883
F1SP25 Q9QYC7
A0A286ZMX2 O55013
F1RU22 Q9WVJ9
F1S415 Q9JLV1
I3LDU2 Q9CYH5
A0A287A1V5 Q62351
F1S0N7 Q9CYY7
I3LG10 Q64347
A0A287ASJ4 Q03173
F1SUE3 Q3U487
I3LF48 O35385
I3LBT8 Q9D906
A0A287BPL8 A0A0R4IZW5
F1RHJ1 Q62311
I3LMS3 Q5SWP3
F1RXA1 Q3U1F9
A0A287ALS3 E9Q5L4
A0A287BI89 Q8VBW6
I3LRW1 O35253
Q8HZV3 P47857
F1RT51 O88992
A0A286ZNG8 Q6P9R2
I3LBA2 Q3UB74
I3LCN0 O55047
A0A286ZTX1 M9MMK0
F1RT53 P25911
I3LBY1 Q9CYD3
A0A287BIC6 A2A7S8
F1RU38 A2AGH6
F1SGZ6 G3UYF5
A0A287BAQ0 Q9CQV8
A5GFS8 Q8BH80
F1SQZ3 Q9Z248
K7GRD8 Q7TNM2
F1S4Y2 O70494
I3LPU5 Q3UFY8
A0A287AXV6 Q920L5
F1S364 Q64127
P79432 Q02257
F1S064 Q60665
F1S224 Q8BSK8
F1S4W0 Q9JJF2
F1S7L8 Q62419
F1S1Z5 O88199
F1SCS1 P10107
F1S1F6 Q8BKX6
A0A287A5H3 P11247
I3LFS1 Q8VBW6
A0A287BNK4 P09103
F1RY56 P97358
Q767L9 D6RGR1
I3LVJ1 P27782
A0A287B877 O70494
A0A286ZYD0 P24452
A0A286ZSI3 E9QKM8
A0A287BBQ5 Q3U487
I3L5R5 Q4FZG9
F1S073 E9QNX9
F1S4Y2 P27782
F1RF93 Q9QZN4
F1S073 Q61187
M3VK17 Q9R0S3
A0A286ZI96 O88597
A0A287A407 Q9Z0H0
F1S287 Q8BJS8
I3LR71 Q8BHI7
A0A287BSV9 Q8BW72
A0A287B501 P62878
A0A286ZPF5 P63085
A0A287APV1 P62889
F1SL46 Q09200
I3LF48 Q8CHP8
F1RWA0 Q7TS68
F1RY92 Q5SF07
R4JU57 Q8C8U0
F2Z517 Q3UL36
A0A287B1K1 E9QM16
F1RMJ3 O88700
I3L5F7 Q8C8U0
F1SR95 P21129
A0A287BIH8 Q3UCQ1
F1S8N5 G3X9H5
A0A287AKR9 Q3UJB0
F1RJ01 B2RY56
A0A287BD11 O88597
F1RSV8 G3X9K4
A0A287AAE5 Q8BHB7
A0A287AHF0 Q9CQG3
A0A286ZVC7 Q61187
A0A288CG47 O35226
F1SMP5 Q8VBX6
A0A287B9N3 Q61184
A0A286ZLT0 Q8C156
I3L9L7 Q920H1
I3LNG8 Q60864
P80021 Q03265
F1SAJ5 P97310
I3LJP2 P70274
F1S1K0 Q61550
F1SL15 Q3UFY8
F1S7K1 A2AWA9
A0A287B2F2 O35740
A0A287BF42 Q8R4G6
F1SH27 Q8BW72
A0A287BNK4 E9PVA8
A0A288CFV7 Q60715
A0A287B916 P27782
I3LMX3 Q8BP92
A0A286ZLA1 O35740
F1RYU8 Q64347
F1SJ93 Q8BP92
D5KJI2 Q06180
Q9TUB2 P02340
F1RSS9 Q8BHT6
F1SRQ4 Q3UHG7
P15203 Q91YU7
K7GND6 P46414
A0A287AME4 P61514
P28491 P35564
K7GP28 Q99N15
R4JU57 O55047
A0A287B7K4 Q8VIG0
A0A286ZQL9 Q8BZ36
F1CK17 P07356
F1SE73 P14152
F1RJ11 A2AJW5
A0A286ZQL9 Q99P69
A0A287AKR9 O54946
A0A286ZPE3 P49312
A0A287AZJ9 P63163
A0A287B916 Q9CQE6
F1STR7 Q9JMG9
A0A287AG28 O55013
F1SAQ6 Q69ZR2
F1RSV8 A2AGH6
A0A286ZLA1 Q1HL35
F1S034 Q9WVS8
F1RVT6 Q8VBW6
F1STE3 Q8VDV8
F1STR7 Q8BW72
A0A286ZZ53 O08967
F1RX38 A0A286YCI8
P61291 P97929
I3LT49 E5FYH1
A0A286ZK79 Q6P5F7
K7GS69 E9PYF7
A0A287B621 O55047
I3LPN4 Q922L6
A0A287AZJ5 O70166
Q684M4 Q9Z2X8
I3LCX3 Q922Q2
F1SU46 Q3UFY8
P79307 P12023
F1SH89 Q8BGE6
A0A287AI88 P46935
A5GFY4 Q91WR3
A0A287ARW8 Q3UL97
Q19QT0 F6TVP2
Q684M4 P08103
F1S5P5 Q9JKN5
A0A286ZMA9 M9MMK0
A0A287BKR1 Q9QXV3
F1SP79 Q673H1
F1RMJ3 A0A1L1SSL9
A0A287B3M4 Q9WUR9
A0A286ZUG7 Q8BQY8
A0A286ZVC7 P07356
A0A287AB40 Q8BGB2
F1STD8 F6R4N2
F1SNJ6 Q3U487
I3LBA2 Q9DCX8
F2Z5F2 P61027
F1SIX8 O08688
E5Q8C6 P28033
A0A286ZJW1 Q64701
F1RHJ1 Q9WVS8
A0A287BSV9 Q62227
Q8HZV3 P14152
K7GND6 Q7TPH6
F2Z565 Q9CQV8
F1SML4 P97310
F1S4Y2 P37242
A0A287AWQ9 O55013
I3L828 E9PYF7
F1S7K1 Q8K2F8
A0A287BE06 P62984
D2KQR0 Q91VR7
A0A286ZND4 Q9Z265
F1SE73 P47857
A5JUQ8 Q921W4
A0A287B916 J3KMG9
A0A287ALK7 F6UC55
A0A287AE68 Q91Z22
F1RSV8 Q99LH1
F1RRI6 Q8CAF4
F1SID1 E9PVA8
I3LPU5 E9QNX9
A0A286ZYQ9 A2BFE8
A0A287BSV9 P27782
F1SUK6 Q9R1M5
F1REZ6 Q80TQ2
F1SCL0 P15208
A0A287A9J8 Q8R2Q8
P61291 P61290
I3LQ78 Q9JMG9
B1NI70 Q9WUR9
A0A287BIC6 Q8K2J7
F1SH27 P37242
I3LK68 Q3U2G2
A0A287B4J0 Q80X71
F1SGQ3 O70303
I3L5F7 Q03173
F1S064 P37242
F1RF12 Q8BYI6
F1SME2 P39428
A0A287BI89 Q8CFT3
I3LLR6 Q61818
F1S106 Q64151
F1S9W2 Q8CD26
I3LBY1 Q64151
A0A287ALQ4 Q61324
F1SU06 Q7TMK9
A0A287B916 P37242
F1SKG2 P62984
I3LPU5 D3Z3U5
K7GQA4 P41969
A0A287ACL1 Q61112
A0A287AAX2 Q8BUL6
F1RY56 Q9Z238
A0A287AF76 A0A0N4SVL0
A0A287A4Z1 P70445
A0A287A950 Q61818
Q29040 P19785
F1SA98 Q61545
F1S525 Q9Z2X8
F1S010 Q6P9S1
F1S1Z5 E9PYF7
A0A286ZJX3 Q8R015
A0A287B8F9 Q99JY4
I3L9U8 B2RWS6
F1SS96 Q924Z4
F1SMW9 B1AWD9
P62272 P49615
A0A286ZYG8 F6RGI3
A0A286ZZS2 P29452
A0A287BK93 Q9QUJ7
A0A287BGG6 Q9WUD1
F1S4G0 H3BLQ9
K7GS73 Q3TRM8
I3LNZ6 Q4QQM5
I3LK68 P14152
F1RZZ3 Q8K274
A0A287BSE8 D3Z3U5
A0A287AFJ7 Q9JMG9
F1S0L5 P43407
A0A286ZY83 Q78T81
F1SP25 Q9CYD3
F1SF37 O70494
A0A287AFJ7 P26687
Q684M4 P48025
F1SKG4 F8VQ87
F1SUW3 Q8C845
A0A287BJP3 P19091
R4JU57 A2AWA9
I3LG77 F8WJE0
F1S8D0 Q03366
A0A287A8G1 Q3V2D2
A0A287ACX2 O70201
A0A287AFJ7 Q62227
F1SSC2 P47857
A0A286ZJV6 Q61187
R4JU57 Q8VDF2
F1RHJ1 Q8CFT3
A0A286ZYM6 Q7TT37
A0A287AM68 Q3TLH4
I3LPJ3 E9Q6Y8
A0A287B7I6 D3Z3U5
F2Z5R9 A5D6P6
F1S033 Q3UHD6
F1RU38 Q99LH1
F1S7K1 Q8C8U0
A0A287BBL7 A2A7B5
F1RM61 Q7TSA6
F1S034 Q62311
A0A287BHC9 Q6P5F9
A0A286ZRB8 O09030
A0A287B979 Q99N11
A5GHK9 Q62245
F1SGZ6 Q9JKN5
F1SQ17 Q8BP00
F1SL75 Q61696
A0A286ZXK3 Q5SV02
I3L5I1 Q8BFZ9
F1SH27 Q9CQE6
I3L7T2 Q61625
A0A287B6S0 A0A286YCI8
A0A287BDM0 Q8BSM7
A0A286ZYM9 Q8BI22
F1SJB5 E9Q616
F1S001 Q62311
F1RSS9 A2AJW5
F1SDY7 Q8BQM8
F1CK17 E9QNX9
A0A287B1A2 Q62074
A0A287BSV9 P37242
A0A287B3M4 Q61151
F1S064 Q8BW72
F1SAZ7 Q64347
A0A286ZZJ6 O89090
F1S4K9 E9QP49
P84024 Q8BUN5
F1RMN5 P97504
F1SF37 P37242
F1SU46 D3Z3U5
E5Q8C6 Q6I6G8
F1SF37 Q9JMG9
F1RRI6 Q9ERS5
F1RG48 Q501J2
O62640 A2CGA5
A0A287ALS3 Q3UP88
E5Q8C6 E9QKM8
A0A287BIH8 Q8BKX6
F1RRI6 E9QP49
A0A287B1L8 Q01705
A0A287BI89 Q62311
I3LFS1 Q9WVS8
A0A287A4Z1 O35740
A0A286ZQL9 Q91WR3
A0A287BNZ9 Q06180
F1RRR7 D3YXJ5
A0A287AKE2 Q8CFT3
A0A287B8H9 A2A7B5
F1SAZ7 O35385
F1S224 Q8K4G5
A0A287A5I0 P68254
F1SE73 P0CG50
F1SRR6 O08537
A0A287AKE2 Q9WVS8
P22952 Q6W5C0
F1SCF5 Q9WVS8
F1SQR4 P05214
I3LBT8 Q62311
F1SCF5 Q9D906
K7GN38 E9QMA6
F1S5N6 Q9CYD3
F1RKN9 Q7TSG1
F1S1F6 Q3UCQ1
I3LDD9 Q8VED2
F1S475 Q8CI32
F1SAZ7 Q8CHP8
F1RX68 P62715
F1SCF5 Q8CFT3
Q5S1U1 P14602
I3LBT8 P63163
A0A287B5T1 Q9D0A3
F1SKE4 Q8BZ00
I3L740 Q9R0S3
A0A286ZKK7 Q9WVS8
A0A286ZZW4 Q9ET30
A0A287BPQ8 Q80TN5
C3RZ98 Q8BH57
F1SML4 Q7TMK9
A0PFK5 Q9CR52
I3LMT5 A2BFE8
A0A287AB40 Q9ERS5
F1SHL9 P38647
A0A287B877 Q8BW72
A0A286ZZ17 Q9JKN5
A0A287AVJ0 Q8C0M0
I3L6C0 Q4QQM5
A0A287AAX2 D3YXJ5
I3LVJ1 Q9ERI5
F1SBJ7 Q8BG54
A0A287A5I0 Q8VEE4
F1SSC2 G5E829
A0A287AT90 Q9ET30
K7GS49 Q9CXY6
A0A287AZ31 Q6PD29
A0A287B877 Q9JMG9
A0A286ZUC3 Q6PI17
I3LNN4 Q6PDS3
A0A287BSV9 O70494
I3LB10 Q64151
I3LPN4 Q99P69
F1RQY4 B1AR17
F1SF37 Q62227
F1SIS1 Q8BKN5
I3LDS3 A2A513
F1SG38 Q8K2F8
K7GNR7 F6U5V1
A0A286ZJX9 Q99P72
A0A287AFJ7 Q8BW72
A0A286ZMX2 Q921J4
A0A286ZYS4 O55013
F1S8W5 P97334
A0A287B621 Q8C8U0
A0A286ZV23 Q01279
F1SF37 Q9CQE6
F1RHS7 O54786
A0A287BIK0 O70263
F1SCF5 Q8VBW6
A0A287B5Q4 Q61982
I3LM39 Q8C6L5
A0A287BNZ9 Q60634
F1RHJ1 Q9CQ06
A0A287B5M8 O88992
F1S850 Q91WU5
I3LB10 Q9QYC7
F1SU06 P16546
A0A287B6L2 Q6P9S1
F1SR95 O88992
F1STR7 Q9CQE6
A0A287B2F2 Q1HL35
I3L5I1 Q8K284
A0A287BI89 Q9CQ06
F1SPW6 Q8BQR7
F1RFZ6 Q5HZH2
A0A286ZZ61 P08103
