Q9CPP0 Q6PAC3
Q80XI3 Q61696
Q80ZX0 Q80ZX0
P56484 P56484
A0A286YCV9 F7DDS0
Q8BGQ1 Q9EQF2
Q3U5D9 O88444
E9Q784 E9Q784
Q9CZY2 Q3U2J5
Q8VI78 O70273
Q9JJT9 O54941
Q6P5B0 E9PVY8
E9QL43 Q2TBA3
O70591 O70591
Q9JLV1 Q9JLV1
Q8BVR6 Q8BVR6
P97378 Q8BHT7
Q8R480 Q3U9N4
A0A0R4J090 A0A0R4J090
O88878 P28776
Q99JR1 Q99JR1
Q6F5E0 A0A0B4J1F0
Q6R0H7 Q9CZW4
Q9D3S3 Q9D3S3
Q9CZR4 P59672
Q62376 Q62376
Q9Z1F9 Q9Z1F9
Q6F5E0 E9PXZ3
P70697 Q3U3V8
A0A0R4IZW5 A0A0R4IZW5
Q60649 Q3UHH1
Q9EQ14 Q9EQ14
P97504 Q06180
A2AMI2 A0A0N4SVL0
Q8C033 Q8C033
Q5FW53 P43267
Q8C0D4 E9QJU7
Q3UPE3 Q5Y5T2
S4R2L8 Q8BVU5
Q61471 Q9CXC9
Q78RX3 Q8VE04
P59598 O54917
P56479 P56479
Q99K46 Q99K46
Q8CEG5 P61219
A0A0R4J1S3 Q8BI79
E9Q0B8 E9Q0B8
E9QN59 E9QN59
O88854 Q7TSN6
Q9CXJ1 Q9CXJ1
Q921G9 Q14CH1
Q60972 Q60972
F8WGW3 Q8K284
P39688 P39688
F8WGW3 F8WGW3
Q8BU88 Q3UZ64
Q71F55 Q71F55
A0A0B4J1L1 P63013
P35762 Q08460
P05784 P05784
A0A1W2P8A6 F8VPV0
Q8K4Z5 P61222
A0A286YDA8 A0A286YDA8
P63017 P63017
G3X9F4 Q8VHP6
Q9DAG9 P09926
A0A0R4IZX1 D3Z5N8
Q9D0R2 Q8BU30
G3X8X0 G3X8X0
P98064 P98064
Q8BVU5 Q8BRM2
Q3U3V8 Q61152
Q7TPM6 Q7TPM6
Q9Z0S2 Q9Z0S2
Q7TSQ8 A2A4P0
E9Q3C1 E9Q3C1
P97378 Q80SY9
P05213 Q9CXW4
O70469 Q562D6
A0A1L1STX8 Q80VP5
Q8C5Q4 Q7TSQ8
Q8BT07 Q3UFM6
Q61115 Q61115
A0A1B0GT67 E9Q557
Q8BTR5 Q9Z206
Q9CR26 Q9D031
Q99PM9 Q9CZR4
F6VZ99 F6VZ99
A2CGA5 A2CGA5
Q9WU03 Q9WU03
Q9CWT6 A0A286YCV9
Q8BG87 Q9JLH8
O89098 O89098
Q8BLG0 Q99KF1
Q8BZR9 Q6PAR0
Q91WG5 Q91WG5
Q8JZQ2 Q9CQQ7
A0A1L1SU00 G3UX69
Q9JII5 P27048
B0V2N1 Q9CZW4
P47791 Q8K284
P48964 P48964
Q80Y24 Q60748
Q6P9Q6 Q3U564
P48967 P18052
Q8BHL6 A0A0R4J057
P97785 Q80SY9
Q80X50 Q80X50
Q80U63 Q61035
Q9Z1B8 Q9Z1B8
Q9CQS4 A0A0R4J021
Q2M3X8 Q8VHQ3
O89112 Q9WUA3
Q8BW74 Q8BW74
O70333 Q78J03
Q9CWT6 Q9Z1X9
E9Q9A9 E9Q9A9
F8VPK0 F8VPK0
B0V2N1 O35609
Q7TNF0 Q9EPB5
Q8R0S4 Q8R0S4
Q60771 Q60771
Q3UL36 Q3UL36
Q6PIP5 Q8K1R3
A0A1Y7VLC3 G3X9P9
Q00899 Q00899
P08122 P10711
A0A1B0GT63 A2ANX3
Q80TF4 Q80TF4
Q99N84 P51450
Q91WD9 Q6J1H4
Q91ZG2 Q9CQ28
F8WJE0 F6TVP2
Q8VCM5 A0A1L1SVA9
F8VQ54 Q80ZX0
Q3V1T4 Q9CY27
Q9CQ52 A2AM37
Q7TNV0 Q7TNV0
Q6P9L6 Q6P9L6
P12850 P12850
Q9Z1M4 Q60739
Q8C5L7 Q80XI3
Q9CR73 Q9D6Z0
Q9D0I8 Q9D0I8
Q9CUB6 Q8C804
Q91ZG2 Q8BVH9
E9PXZ3 A0A0B4J1F0
Q8VCM5 Q8VCM5
P97931 P97931
P61219 Q8CEG5
Q8C6C9 Q61144
P49183 Q9Z0V8
B1ASA5 Q99LP8
Q6Q477 O35609
Q922U2 Q61781
Q9Z1E3 Q80UP3
Q921V7 A0A286YD23
Q7TNU7 Q8BHD0
O88987 Q9D6D0
P97480 Q9CX66
Q9CYR0 Q9CYR0
Q8VCM4 Q8VCM4
Q8BTZ4 Q61502
P68033 Q7TPW1
Q6P9L6 Q8VI93
A2A6M5 A2A6M5
Q6A009 Q9D4H1
Q99M80 O09172
Q06219 Q8CEF1
Q6PFE1 Q4VBE7
Q923F1 Q923F1
G3X9Z4 Q8BHN1
Q9JKC8 Q9JKC8
Q8C0C7 Q99MU3
Q7TN22 D3Z7P3
Q91VZ5 P55271
P61620 P61620
A0A0R4J0M9 G3X9Z4
Q6PHZ5 Q6PHZ5
Q8R2Q8 Q9CWV0
Q6PI17 Q8CIV7
Q58FA4 Q922H7
Q3U8Y1 Q8QZY9
O35218 O35218
Q8JZP3 Q9CR40
P13373 Q9Z0S2
Q7TNV0 Q61464
H3BKL1 Q8BHL6
G3X959 Q61471
Q61035 A0A0R4J0M9
Q6P5F7 Q1HL35
Q8BHL6 Q9D8Q6
Q9ERG0 Q9ERG0
Q8BZX4 Q6PDQ2
Q9R078 Q9R078
Q9QZQ1 G5E8N7
Q80UP3 Q99PN3
O55134 O55134
Q8BVU5 Q8BVU5
Q921V7 P43267
G5E829 O35382
Q61035 Q61035
A2ADB2 Q922H7
Q8BGA7 Q9R1R0
Q91VF5 Q91VF5
Q78IK4 Q9DC29
P51637 P97428
E0CXC6 E0CXC6
A0A0R4J066 Q9CYY7
Q9Z0Z7 Q5RIM6
Q9CWV7 Q78RX3
B2RUG9 B2RUG9
P97343 O35182
Q99ME2 E9Q6E5
P97760 Q80UW8
Q6PAJ3 Q6PAJ3
F6QQQ6 F6QQQ6
P61219 Q9D084
Q61152 Q3U3V8
Q3TIU4 Q3TIU4
P58390 Q7TNF0
E9Q557 E9Q557
Q0P5V9 Q0P5V9
P63006 Q8BJ63
Q9D9V4 Q9D9V4
Q9D023 Q9R061
Q6PGF2 Q6PGF2
Q8BH02 Q8BH02
Q9JJU6 P00158
Q9WTP9 P63006
P53395 P48962
Q9QXE2 Q9CVI2
P09926 Q9DAG9
P38649 P38649
Q6F5E0 Q9D1D1
Q9QZS3 Q9QZS3
F7DDS0 F7DDS0
Q99JP0 Q8VDP3
Q80VQ1 Q8K201
Q922I7 Q60668
Q8C5L7 Q61696
Q61098 A3KBF5
G3X939 P49650
Q61502 Q8BTZ4
Q6PFE1 Q6PFE1
Q9CQQ7 Q6Q477
Q9CR80 Q8R5F3
E9Q0J2 Q7TPM6
G5E872 G5E872
Q923F1 Q9R061
Q60771 P49650
F8WJF7 F8WJF7
O35625 Q9CUB6
Q61738 G3X939
G3X972 G3X972
O08992 O08992
A0A0N4SW31 A0A0N4SW31
P61219 Q99K74
Q8JZZ6 Q8JZZ6
Q9D2Y6 Q9D2Y6
F8VQ40 P08122
Q61275 P16283
H3BLF0 Q922H7
Q8CIE4 Q5SUF7
E9QNR8 Q922H7
A8Y5H7 Q9CXT6
Q9ERD7 Q9ERD7
P59470 Q9Z138
Q09324 Q923K4
Q8CI96 Q8R2N0
A6BLY7 Q91ZY2
Q64478 Q6ZQB6
Q3U5D9 Q9DAS1
P07607 P28293
D3YXJ5 Q9CR78
O88875 Q9ET39
Q922G2 Q3U1D0
F6YG30 Q3UHC1
A2AKB9 Q91V57
Q61371 O08966
P00158 Q8BUY9
P97792 P97792
Q8BZ33 Q91YL2
P62196 P62196
Q8C3R1 O88622
Q9ESL9 Q9ESL9
Q8CFW1 Q8CFW1
A2A7S7 E9QM77
A0A0R4J057 Q8CI96
Q80Z68 Q80Z68
Q6R0H7 Q8CGK3
A2AKB9 Q8R3P2
O88622 Q9D1C8
Q8CGA0 Q8CGA0
A0A0R4J073 A0A0R4J073
Q3TIU4 F8VPN4
G3X9Z4 G3X9Z4
Q07139 B2RQC2
P70451 Q3U717
Q8CEF1 Q06219
O35239 Q6PHZ5
H3BLC4 Q6PFE7
Q9R0B8 P16283
Q9CRA4 Q4QQM5
Q9DBC3 Q3TIU4
Q9Z1T1 Q7TPR4
Q3UZ64 Q8VBV3
Q9Z1M4 Q8BU88
Q9D892 Q8C2B3
P43135 P43135
P62858 Q60715
A0A0R4J0C3 A0A0R4J0C3
Q76LS9 P51908
P15208 P15208
Q8VDP6 Q8VDP6
A2A791 A2A791
P21981 Q9WTK7
H3BLC8 Q8R2N0
Q8BJW5 P59708
Q9D031 Q9D031
Q8BGY9 Q8BGY9
Q8C4X1 O88904
Q99KU0 O88396
E9QQ21 E9QQ21
A0A0R4J0E0 Q9Z2D1
Q9QXN0 Q9QXN0
O55070 P47774
G3X9J3 Q8CB14
P43267 Q5FW53
Q9ERI2 Q9ERI2
Q6P9Z1 Q6P9Z1
G3X9Z4 Q8K1R3
G3X9X1 Q9CYU6
Q8K3P0 P97431
G3UVU5 Q922H9
Q91YL2 Q9CQA1
D3YVH8 Q58FA4
A0A0R4J0V0 Q8CEG5
Q3U2J5 Q3U2J5
Q8VBV3 A0A0U1RNL9
Q6PAC3 Q6PAC3
P03903 P03903
E9PYK0 E9PYK0
Q8C0N1 Q80UQ2
Q811Q9 Q80W04
Q91VJ5 Q9D084
Q6P4T2 O35286
P56484 Q80VX2
Q8C0N1 Q8C0N1
Q9QWW1 P50149
B9EHI3 B9EHI3
Q8BIG7 Q9EQH4
Q9JIH8 Q9JIH8
Q5M9N4 Q9D1C3
Q61781 Q6RHW0
Q99M80 Q6RHW0
O54724 O54724
Q80VP5 Q9QXE2
A0A0R4J1F5 E9PUE2
Q5SX39 O35683
Q9Z1E4 Q9D824
Q8BYG9 Q9CQS4
P59110 Q05769
Q99PN3 O35625
Q9Z2Z6 Q7TNK1
A2ASQ1 Q921W0
Q99N80 Q99N80
D3Z656 P68033
Q08AT1 Q08AT1
Q9CQ28 E9Q349
Q61160 Q8CE33
O35625 Q80UP3
P70325 Q9WUU6
A2A4P0 Q8BZR9
Q71KT5 Q71KT5
Q9D023 O35609
Q8VIG0 P31313
Q8K4Q6 Q8K4Q6
Q9D1C8 A0A087WQ16
Q9Z1L4 Q9Z1L4
E9Q5D9 E9Q5D9
O54885 O54885
A0A0N4SW31 Q5STE3
P34022 P34022
Q8R5K4 Q80ZM5
Q9WUZ7 Q8BGA7
O88622 A0A0R4J1N6
O35625 Q8C804
Q61598 Q6P1G2
P70245 Q3UNA4
Q3TIU4 Q80TF4
Q8BYA0 Q8BYA0
Q9EPB5 P58390
Q61390 Q641P0
Q3UD01 Q9D7P9
Q8BKX7 Q2WG77
A0A140LJ72 Q3UBG2
G3UYS1 G3UYS1
Q80ZE3 D3YU50
P35639 P51450
Q66X22 Q8C428
Q64326 Q64326
Q99P72 Q99P72
P61082 P61082
P58390 Q922X9
P86045 P86045
P08122 Q9Z0F8
A0A0A6YX89 E9QJU8
Q8C341 Q9D8U3
P70451 P70451
P08122 P59598
A2A5Z6 A2A5Z6
Q8CHP6 Q07813
G5E8F1 G5E8F1
Q08874 Q08874
Q9Z2V4 Q60753
D6RGA0 O88622
Q5S006 Q5S006
Q9Z1E3 Q9CS74
Q2M3X8 Q2M3X8
Q91ZD6 Q5U4H9
Q9CQQ7 Q9CQU3
F6VXZ2 A2A7S7
G3X8R8 G3X8R8
Q8JZQ2 Q9R061
V9GWZ4 Q80TR8
Q80U38 E9Q8D0
Q9D3X8 Q9D3X8
Q62432 Q62432
Q99JT2 Q9D7X3
Q7TNF0 Q91ZY2
Q3U1F9 Q61330
Q62381 Q9DB54
Q99MB7 A0A0A0MQF5
A0A286YD43 A0A286YDR3
Q8C0Q3 Q9D269
Q3UHC2 Q3UHC2
P51656 P51656
F7C846 Q792Z1
Q8C170 P70697
Q8CGC7 Q8BFR5
Q8BGZ1 Q99MS7
Q03719 Q03719
Q99KJ0 Q6PDX6
Q62486 P70304
Q6DFW4 F8VQ72
P17047 Q9R0Q3
Q8BZ33 E9Q555
Q6NZM9 Q6NZM9
P20152 P20152
Q9CPY4 Q9CWR2
Q9CW03 Q9CW03
Q91VJ5 Q9CQI9
Q9Z2D0 Q9Z2D0
Q8C6D4 Q8C6D4
Q08460 A2ACM0
Q9WUN2 Q9EQC5
Q8BVH9 Q9D2D9
Q3U9N4 Q9D4H1
Q61598 Q9Z0H1
Q78RX3 Q78RX3
Q8C0E3 Q8C0E3
A4Q9F4 Q3URE1
Q9ESX5 Q61216
Q8BUL6 Q3TEW6
P70451 P70697
Q6IR34 Q60649
Q9R0B8 P70304
Q9DAW6 Q9DAW6
Q8QZY9 Q9JII5
H7BX05 Q8CFD4
Q9R1R0 Q8QZV0
Q5U462 P59672
O55033 O55033
P12382 P12382
Q923K4 Q91ZG2
Q9CQ10 Q9CQ10
G3X959 G3X959
Q9WTZ1 Q9WTZ1
Q9D300 Q8BGR8
P70697 P70697
Q61324 Q61324
Q8BTH8 P70347
Q9CY73 Q3TIU4
A0A1Y7VLC3 A0A0R4J0V4
P59326 P59326
Q8CEG5 Q9R0S0
P60605 Q9CQU3
A0A0R4J0E0 A0A0R4J0E0
O55074 Q499E6
P70696 Q3UZG4
Q8R100 Q8BGA7
A0A0A0MQ90 Q8C0N1
Q8BMF5 Q8BMF5
Q8C9D4 Q9D0M0
Q9CPY3 Q9Z0V8
G3UX69 O88904
Q80WQ8 Q80WQ8
Q9Z1T1 P09411
Q91Y10 Q91Y10
P00158 Q9JJU6
Q8VD75 Q9CQC6
Q9DD02 Q9DD02
Q8R2Q8 Q9D279
Q8BGF7 Q8BGF7
P10146 Q03719
O89090 O89090
A0A1B0GT67 A0A1B0GT67
O35609 Q6Q477
Q8VE01 Q8VE01
Q8BGZ1 Q9D2F7
Q6PEB6 Q8K072
Q91W52 Q99LP8
A3KFM7 Q80ZW2
Q9CVI2 A0A0B4J1F1
Q91VF5 Q64689
Q8CEC4 Q8CEC4
Q9D7P9 Q9CZR4
Q58FA4 Q8QZS5
D3YYL3 Q9D269
Q922I5 Q922I5
Q3TIU4 Q9CY73
Q60748 Q9D1T5
Q61357 Q61357
Q99JP0 Q0VGU4
Q9CPY4 Q9CPY4
Q6PAC3 Q9CPP0
Q8BXZ1 Q8BXZ1
Q80X56 G5E8T9
Q60980 Q60980
Q9CWV0 Q58Y75
P33033 Q64326
Q3UFM6 Q3UFM6
Q3ULW8 Q3ULW8
Q9R0U5 O55134
A8C756 A8C756
E9QN59 Q9WUI1
Q9CPY3 Q91YQ7
Q9CWR2 O54917
Q9CXJ1 Q8BIP0
Q9CR40 Q5SSK3
B1AZ99 Q5NBX1
P01193 P01193
Q9D2R6 Q9D2R6
Q1HL35 Q6P5F7
P59598 Q9CPY4
P35762 A2ACM0
A0A286YCY4 P53395
Q60932 Q60932
Q5SXC4 Q5SXC4
Q8K072 A2A863
Q64692 Q64692
Q76LS9 P51576
Q9ER69 Q7TPD1
A0A1B0GSR7 Q80UN1
A0A0R4J1V0 A0A0R4J1V0
Q8VD75 Q8VD75
Q9CWT6 Q9CWT6
Q9DB54 Q62381
Q9DBC3 Q9CY73
E9QKG3 Q8VCM5
Q9Z1K5 Q9R1A8
Q8QZY9 Q9R1A8
Q9WTX6 Q9WTX6
Q8BRM2 P55271
O35182 P97343
Q99MS7 Q99MS7
Q9QZS8 Q9QZS8
A6H611 Q4VBE7
Q80WQ8 Q8CEC4
Q3TDN2 Q3TDN2
Q60848 Q60848
H3BLF0 Q58FA4
Q9R0P5 P43275
P28776 Q059P4
O35740 Q60843
Q14CH1 G3X960
Q9JJR8 P41272
Q64689 Q64689
Q6P8K8 A2RSQ0
A2AMI2 A2AMI2
Q9WUV0 Q9CZT6
Q8BKN5 E9QM16
P51910 Q64336
F6RGI3 F6RGI3
Q9DBC7 Q9DBC7
Q8BHW2 Q8BHW2
Q5S003 Q5S003
Q7TPN9 Q8CFN8
E9QMN1 Q6PFE7
Q922X9 Q91ZY2
O70445 O70445
O35841 O35841
Q8C2B3 Q9D892
Q9Z1X9 Q3TIU4
Q68EF4 P09036
Q80WC9 H7BWZ9
Q9CQ28 Q91ZG2
O08791 O08791
Q6R0H7 O35609
Q91VJ5 Q9D6Z0
Q8K349 Q8VE91
Q6P5B0 Q4VBE8
Q6P5F7 G3X9J3
Q05769 Q62431
Q80XJ3 Q9DBT5
Q8CJ61 Q8C172
O08579 O08579
O88888 O08919
Q8K1S4 Q8K1S4
Q3TQB2 Q9CQL5
Q8C6D4 A0A0R4J1V0
A0A087WRI3 A0A087WRI3
P09036 P58390
A2APB8 P09025
Q61526 Q61526
Q9D2C2 Q8JZQ2
Q9D279 Q58Y75
Q9D7P9 Q5U462
G3X975 E9Q6Y8
Q61471 Q3UNA4
G3UVW3 G3UVW3
Q09324 Q8BVH9
Q3UHC1 P70451
A0A0G2JGZ8 Q9Z1B8
Q8R3L5 Q9D7P9
Q62167 Q62167
A0A0R4J073 Q8BLG0
Q07813 Q8CCI5
Q8BUY9 Q8BUY9
Q99JR1 P47791
E9PUK6 E9QKA4
Q5ND34 Q60649
Q80U63 Q6PHZ5
E9QNR8 D3YVH8
P70696 Q64475
Q8C1Q4 Q9QXN0
Q64702 Q64702
P26955 Q60771
P26350 P81270
Q8CFZ4 Q8CFZ4
Q9CWJ9 Q9CWJ9
Q8BI79 Q8BI79
Q9ER64 Q9ER64
A2A8Z1 Q0VGU4
Q6A009 Q3U9N4
P63013 Q3U5D9
Q61371 Q61371
D3YXI6 A0A0G2JGZ8
Q924Z6 P61967
Q8QZS5 Q8QZS5
Q9Z1N9 Q9Z1N9
Q6PIP5 P59470
Q9D1B9 Q9D1B9
P14719 P14719
Q62383 Q9CPP0
Q8BHT7 P97785
Q8K119 F8VPN4
Q91VJ5 Q9R0S0
P49300 P49300
P42209 Q9Z180
A0A0R4J0V4 A0A1L1SU00
Q80UQ2 Q8CB96
Q3TJD7 Q3TJD7
P51656 P40226
Q32NY6 Q32NY6
Q810M1 Q810M1
P49183 P49183
Q9R0T8 Q9R0T8
Q8CFZ4 G3X960
Q8C8J0 Q76LS9
H3BKL1 P70347
Q99JW4 P48725
Q64478 E9Q9B7
Q61152 P70697
Q9CQS4 V9GXH0
Q924Z6 Q80Z38
Q80X66 Q80X66
O35375 O35375
Q8CB14 Q8CB14
Q08460 B2RUG9
O09030 Q78J03
Q9DAM5 A0A0U1RNL9
A0A0R4J0C0 A0A0R4J0C0
P09036 Q68EF4
Q8BPB0 Q8BPB0
Q91XT6 Q8BGI5
Q8CB96 A0A0A0MQ90
Q924Z6 Q924Z6
A2AJW5 A2AJW5
Q80UW8 Q9JJT9
O35625 Q91ZD6
Q8C079 Q8K1R3
Q8CB76 Q8CB76
Q61330 Q61330
Q78T81 D6RGR1
Q9JI39 Q4QQM5
G3X959 Q9CXC9
Q64478 B2RXC6
Q6P243 P97950
Q8BT07 Q9CUB6
P16872 P16872
A0A0R4J1N6 Q9D1C8
Q80TF4 Q3TIU4
F6VXZ2 F6VXZ2
Q8R124 Q8R124
Q9D2F7 Q9D067
P35639 Q99N84
Q8K1R3 Q6PIP5
Q60675 O35683
Q9D6Z0 Q9D084
E9QJU8 A0A0A6YX89
O08919 O88888
Q9CQI7 Q9JJT9
Q9JHQ5 Q9JHQ5
Q9D1D1 A0A0B4J1F0
Q8K3K8 Q8K3K8
P58659 P58659
P13373 A2AM37
P00158 P00158
Q9D0E1 Q8K4Z5
Q9DAG9 Q8BVU5
Q8CEG5 Q9D6Z0
Q9D8Q6 Q8BHL6
Q9CQI1 Q9DCV6
Q8CAE3 Q5SX39
A0A1L1SSL9 O88700
P35639 P35639
Q61144 Q8C6C9
P27870 P27870
Q9D2C2 Q9CQU3
A0A023T778 A0A023T778
A0A0R4J1N6 D6RGA0
A2AQ07 Q9DCC4
E9Q395 Q9CQ52
O70589 O70589
P70347 H3BKL1
Q5BU09 Q5BU09
Q9JHE7 Q99LI9
Q99KJ0 Q99KJ0
Q8VIG0 Q91X45
E9Q5K9 E9Q5K9
G3UWB6 Q64326
Q6RHW0 Q61781
Q9ESX5 Q9ESX5
A2AM37 Q9Z0S2
E9QJU8 O35618
A0A286YD43 A0A286YD43
Q5FW53 Q5BN45
Q9R0M6 Q9R0M6
Q5M9N4 Q9JHG1
D3Z200 O89013
Q61098 P43687
Q8BGE5 B2RT41
Q8R4K8 P31313
Q91ZD6 Q9CS74
Q99M01 Q99M01
Q8R422 Q8R422
Q64475 P70696
O88396 Q4QQM5
Q9D023 Q6Q477
Q8BZM1 Q8BZM1
P63006 A2AM37
F8VPV0 F8VPV0
A0A0R4J097 F6VPT9
Q61781 O09172
Q3UFM6 Q9JJP2
Q8CAE3 O35683
Q8C6C9 Q8C6C9
Q9D0B6 A2AQ14
P56469 Q9D9W1
G5E8F1 Q9DCV6
Q6J1H4 Q91WD9
Q9WU62 Q9CZT6
Q6ZPK7 Q9DAY5
Q9D112 Q9D112
P50592 Q6RI63
O88307 O88307
Q03160 Q03160
Q9CQU3 Q8CGK3
Q61152 Q8C170
H3BKL1 Q8CI96
Q9R061 O35609
P30285 P30285
O35864 O35864
A2AUC9 Q6PIE5
Q8BYH0 Q8BYH0
V9GX76 V9GX76
Q3UFM6 Q8C804
Q9D8Y8 Q99KF1
Q9D023 Q923F1
Q9DBR3 Q99M80
Q9JII5 Q8QZY9
Q8CEG5 Q9D084
G3X973 G3X973
Q8VEK2 Q3URE1
P70304 O35558
P43275 A0A286YCY4
Q3UHC1 Q8C170
Q91XL2 Q91XL2
E9PV60 Q6PIE5
Q1HL35 G3X9J3
Q5FW53 A0A0R4J021
Q8BN82 Q8BN82
Q8K1R3 Q8K1R3
P43687 G3XA20
O35609 Q9CQU3
E9Q9B7 Q64478
O35239 Q9Z138
Q9R100 P26955
Q9Z0L4 Q9Z0L4
Q922L6 Q9CXJ1
Q80VP5 Q9CVI2
Q99MB7 F6VDQ9
A0A0R4J0V0 Q91VJ5
Q99KJ0 Q3TYD6
Q9D709 Q9D709
Q8VC60 Q8VC60
Q9JIK5 Q6PDG5
P17564 P17564
Q5RL20 Q5RL20
Q9CZW4 Q9CZW4
Q80W04 H3BJD7
Q9R0S0 Q9CQI9
Q9DBB4 Q9DBB4
Q9QZN1 Q8R124
Q6P9Z1 P09025
G3X973 O35375
Q9D906 Q62311
O70404 O70404
Q62225 Q62225
Q9D0F3 Q9D0F3
Q62311 Q8CFT3
Q8BH59 E9QPE7
E9QNR8 A0A0R4J1C5
Q8R0J7 E9QJU7
Q8CB96 Q80UQ2
Q9QZL9 Q9QZL9
Q3U5D9 D3Z4R4
P26955 P49650
P54369 Q99PM9
Q9D9S1 Q9D9S1
P63087 P63087
Q6A085 G3XA34
Q8CEG5 A0A0R4J0V0
Q99PN3 Q9CUB6
Q9WTP9 Q9WTP9
F6ZFU0 F6ZFU0
Q61069 P59110
A0A0R4J0D8 A0A0R4J0D8
P31257 P31257
P61804 P61804
P30681 P30681
Q8BK72 Q8BK72
Q80UG2 Q80UG2
Q8BLG0 E9Q577
O70172 O70172
E9Q555 Q91YL2
Q61286 Q61286
Q08460 Q61263
A0A0B4J1F1 Q9QXE2
H3BKL1 D3YYQ7
Q9D7P9 Q3UBG2
A0A286YCY4 Q9R0P5
O88307 O54788
Q8BHT7 Q9WTZ1
A0A286YCY4 P43275
Q8BT18 Q09200
S4R1Y1 S4R1Y1
Q9CQU3 Q9CQU3
A2CGA5 A2CGA3
Q8R3Q6 Q8R3Q6
O70263 O70263
Q6GQT1 Q6GQT1
P70347 Q8BTH8
Q60664 G3X973
D3Z380 A0A0R4J018
Q3TYD6 Q99KJ0
Q8K450 Q8K450
O35465 O35465
Q9Z138 Q6PHZ5
P22892 Q8BWY3
Q8R3C0 Q9CWT6
Q61152 Q9JLY7
M0QW59 B2RUG9
Q9D1D1 P26955
A0A0R4J057 Q8BTH8
Q9DBR0 Q9DBR0
Q9DBR3 Q922U2
O35286 Q9JIK5
Q8BH80 Q8BH80
P48754 P48754
E9Q658 A0A0B4J1L1
Q8BM89 Q8BM89
P61979 P60122
S4R2L8 Q8BRM2
Q5SV02 Q5SV02
E9PWI3 E9PWI3
P16092 P16092
Q9R059 Q9R059
Q9Z180 Q9Z180
Q6VGS5 Q80ZJ8
Q3U3V8 Q3U3V8
G3X9H5 G3X9H5
Q08423 Q08423
P03930 Q7TPW1
Q8C170 Q8BWT5
Q9Z0V8 P97480
Q68EF4 Q9D067
O54941 Q7TMG8
Q9D2C2 O35609
Q8VBV3 Q3UZ64
Q9CPV2 Q9CPV2
Q60649 Q5ND34
Q9Z324 Q9JHG1
Q8R3C0 Q9CY73
F8VPV3 F8VPV3
P62069 P62069
Q7TNF0 A6BLY7
Q8R4F1 Q6NZI9
Q80X56 Q6VGS5
P54130 P54130
Q9D084 Q99K74
H3BJD7 Q9D6K5
P59110 Q641K5
A0A286YD23 Q921V7
Q99PM9 Q9D7P9
Q9D8Y8 A0A0R4J073
Q9CR14 Q9CR14
Q924Z4 Q924Z4
Q9Z1F9 E9QPI5
Q9CXU9 Q8R173
A0A0B4J1F0 G3X939
P83741 Q08460
Q6ZWY3 Q9R0P5
Q6P8K8 Q6P8K8
E9Q5L8 P70325
Q9CX84 Q5NCI0
Q61851 Q61851
Q04899 Q04899
Q62559 Q9D067
P59267 P59267
Q9CX66 Q9Z0V8
P62500 P62500
Q61214 Q61214
Q922R1 Q922R1
Q07813 Q07813
A6H611 A6H611
H7BX05 A2ASQ1
Q9D3L0 Q3UPE3
Q9CPP0 Q61598
Q8VD00 Q8VD00
Q60876 Q6NZP1
Q3UH85 Q65Z95
Q61572 P53762
P09025 P59108
Q9WU62 Q9WUV0
Q80TF4 Q9CY73
Q922U2 Q922U2
P70697 Q3U717
Q0VGU4 Q0VGU4
Q921V7 Q921V7
A2ANX3 Q8VHP6
Q8VHQ3 Q9CZT4
Q99K30 Q4FK66
Q6GU14 A0A0N4SV67
Q8VCZ3 Q8K3A2
Q8K0Y7 O70273
Q9CWK8 Q9CZW5
Q8R1F9 B1ARD6
E9PYF7 Q8CB14
P62340 P62340
Q9D2F7 Q8BGZ1
Q60739 Q8BFX1
P53395 Q9R0P5
Q8VDV8 Q8VDV8
Q5XFZ0 Q5XFZ0
P54369 P54369
Q9Z0F8 Q9CWR2
Q6PD10 Q6PD10
Q64151 B1AZA5
Q8K1R3 Q8BHN1
Q9Z0F8 Q9CPY4
O35643 O35643
D3YTQ3 D3YTQ3
E9QKG3 E9QKG3
Q8QZS5 Q58FA4
B2RQC2 Q07139
Q9Z1M4 A0A0U1RNL9
Q8C0C7 Q8JZQ9
Q9CY27 Q3V1T4
Q9Z1K5 P81270
Q6P9Z1 A0A0R4J0R3
Q09324 E9Q349
B1AX39 B1AX39
E9PUB7 D3YX87
Q9D0F1 Q9D0F1
M0QW59 P42337
P17564 P35487
A2AEP2 A0A1L1STX8
E9Q616 E9Q616
F8WI37 P61963
Q9D023 Q9CQQ7
Q9WVA3 Q99MU3
P86045 Q8R1D1
Q8BYG9 P43267
O35239 Q80U63
Q9CR76 Q9CR76
Q5U4H9 G3X8R8
Q99MU3 Q9WVA3
Q6ZQ88 Q6ZQ88
Q9Z2V4 P09024
Q923F1 B0V2N1
A2ANQ2 A2ANQ2
Q80ZX0 F8VQ54
E9QL65 E9Q411
P59672 A0A140LJ72
P70697 Q8BWT5
Q8BGZ1 Q0P5X5
Q8BJ63 P63006
A2ANX3 A2ANX3
Q60662 Q9D6D0
P34968 P34968
Q4KMS1 F7B7X2
Q8BVU5 Q91VZ5
Q91VR8 H3BLC4
Q6A009 Q3TTA7
Q8R0S1 Q8R0S1
Q80ZJ8 Q80X56
Q6PIE5 A2AUC9
